PDE variable 0,arc_length
0.525432,37.3
0.513104,37.4
0.500695,37.5
0.48822,37.6
0.475689,37.7
0.463119,37.8
0.450523,37.9
0.437917,38
0.425316,38.1
0.412733,38.2
0.400187,38.3
0.38769,38.4
0.375259,38.5
0.362911,38.6
0.350658,38.7
0.338517,38.8
0.326502,38.9
0.314629,39
0.30291,39.1
0.291359,39.2
0.27999,39.3
0.268813,39.4
0.257842,39.5
0.247087,39.6
0.236558,39.7
0.226264,39.8
0.216214,39.9
0.206415,40
0.196875,40.1
0.187599,40.2
0.178592,40.3
0.169858,40.4
0.1614,40.5
0.153221,40.6
0.145321,40.7
0.137702,40.8
0.130363,40.9
0.123303,41
0.116521,41.1
0.110012,41.2
0.103776,41.3
0.0978066,41.4
0.0921009,41.5
0.0866533,41.6
0.0814586,41.7
0.076511,41.8
0.0718042,41.9
0.0673318,42
0.0630869,42.1
0.0590624,42.2
0.0552512,42.3
0.0516458,42.4
0.0482388,42.5
0.0450228,42.6
0.04199,42.7
0.039133,42.8
0.0364442,42.9
0.0339162,43
0.0315418,43.1
0.0293135,43.2
0.0272244,43.3
0.0252676,43.4
0.0234362,43.5
0.0217239,43.6
0.020124,43.7
0.0186306,43.8
0.0172375,43.9
0.0159393,44
0.0147302,44.1
0.0136051,44.2
0.012559,44.3
0.0115869,44.4
0.0106843,44.5
0.00984677,44.6
0.0090702,44.7
0.00835061,44.8
0.0076842,44.9
0.0070676,45
0.00649723,45.1
0.00597012,45.2
0.0054832,45.3
0.00503363,45.4
0.00461894,45.5
0.00423642,45.6
0.003884,45.7
0.00355929,45.8
0.00326035,45.9
0.00298537,46
0.00273236,46.1
0.00249986,46.2
0.0022862,46.3
0.00208999,46.4
0.00190992,46.5
0.00174466,46.6
0.00159317,46.7
0.00145424,46.8
0.00132696,46.9
0.00121041,47
0.00110369,47.1
0.00100604,47.2
0.000916696,47.3
0.00083502,47.4
0.000760379,47.5
0.000692152,47.6
0.000629873,47.7
0.000573005,47.8
0.000521081,47.9
0.000473745,48
0.000430569,48.1
0.000391194,48.2
0.000355328,48.3
0.000322617,48.4
0.000292902,48.5
0.000265769,48.6
0.000241117,48.7
0.000218694,48.8
0.000198263,48.9
0.000179737,49
0.000162862,49.1
0.000147541,49.2
0.000133644,49.3
0.000120976,49.4
0.000109538,49.5
9.91091e-05,49.6
8.9646e-05,49.7
8.11073e-05,49.8
7.33291e-05,49.9
6.62809e-05,50
5.99191e-05,50.1
5.41106e-05,50.2
4.89124e-05,50.3
4.41402e-05,50.4
3.98596e-05,50.5
3.59939e-05,50.6
3.24407e-05,50.7
2.93035e-05,50.8
2.64062e-05,50.9
2.38196e-05,51
2.14815e-05,51.1
1.93258e-05,51.2
1.74667e-05,51.3
1.56781e-05,51.4
1.41482e-05,51.5
1.27429e-05,51.6
1.14519e-05,51.7
1.03342e-05,51.8
9.26054e-06,51.9
8.3653e-06,52
7.50624e-06,52.1
6.73869e-06,52.2
6.08352e-06,52.3
5.44043e-06,52.4
4.91571e-06,52.5
4.39322e-06,52.6
3.95498e-06,52.7
3.55002e-06,52.8
3.17768e-06,52.9
2.86172e-06,53
2.56027e-06,53.1
2.29061e-06,53.2
2.05733e-06,53.3
1.86665e-06,53.4
1.6491e-06,53.5
1.48993e-06,53.6
1.33265e-06,53.7
1.18758e-06,53.8
1.09106e-06,53.9
9.25479e-07,54
8.78953e-07,54.1
7.5673e-07,54.2
6.79188e-07,54.3
6.41723e-07,54.4
5.15917e-07,54.5
5.13014e-07,54.6
4.12715e-07,54.7
4.0288e-07,54.8
3.6757e-07,54.9
2.71152e-07,55
3.12953e-07,55.1
2.30056e-07,55.2
2.35395e-07,55.3
1.94368e-07,55.4
1.61696e-07,55.5
1.81063e-07,55.6
1.18367e-07,55.7
1.46652e-07,55.8
1.05776e-07,55.9
1.02396e-07,56
9.30055e-08,56.1
7.62392e-08,56.2
8.4287e-08,56.3
3.82339e-08,56.4
6.96542e-08,56.5
5.4326e-08,56.6
4.69103e-08,56.7
3.76354e-08,56.8
3.73193e-08,56.9
3.68564e-08,57
1.51767e-08,57.1
4.06092e-08,57.2
7.70347e-09,57.3
2.7912e-08,57.4
7.82449e-09,57.5
2.3858e-08,57.6
3.37021e-08,57.7
-1.70834e-08,57.8
4.09964e-08,57.9
1.32215e-10,58
1.15666e-08,58.1
1.55957e-08,58.2
-8.18095e-09,58.3
3.638e-08,58.4
-2.37673e-08,58.5
1.89724e-08,58.6
1.07986e-08,58.7
-2.03419e-08,58.8
1.98682e-08,58.9
-1.9248e-09,59
1.27516e-08,59.1
-2.10157e-09,59.2
-3.7314e-09,59.3
1.84278e-08,59.4
-6.31331e-09,59.5
1.07233e-09,59.6
1.65836e-09,59.7
-3.43612e-10,59.8
-2.23564e-09,59.9
1.29046e-08,60
3.01606e-09,60.1
-4.37074e-09,60.2
-5.88239e-09,60.3
1.14566e-08,60.4
9.59772e-11,60.5
-1.73589e-08,60.6
8.44819e-09,60.7
-1.56593e-09,60.8
1.10011e-09,60.9
3.37356e-09,61
-9.36741e-09,61.1
1.03287e-08,61.2
-1.54466e-08,61.3
1.49595e-08,61.4
2.84918e-09,61.5
-1.42422e-08,61.6
1.02842e-08,61.7
-1.19853e-09,61.8
6.83671e-09,61.9
-1.35353e-08,62
-3.03836e-09,62.1
1.63606e-08,62.2
-1.26361e-08,62.3
3.71287e-09,62.4
-9.73142e-10,62.5
-5.41918e-09,62.6
5.8429e-09,62.7
-5.13693e-09,62.8
-6.48027e-09,62.9
-4.44503e-09,63
-7.48371e-09,63.1
1.30907e-08,63.2
-2.07458e-09,63.3
-1.37916e-08,63.4
1.71295e-08,63.5
-9.00828e-09,63.6
5.51005e-09,63.7
-3.17645e-09,63.8
-8.60011e-09,63.9
1.44022e-08,64
-1.8674e-08,64.1
1.1179e-08,64.2
-7.09444e-09,64.3
-1.32979e-08,64.4
1.51725e-08,64.5
-1.44785e-08,64.6
4.2911e-09,64.7
-1.07434e-08,64.8
4.19395e-09,64.9
1.05932e-08,65
-1.04815e-08,65.1
3.13077e-09,65.2
-5.19852e-09,65.3
3.96045e-09,65.4
-9.10056e-10,65.5
8.91615e-10,65.6
5.90455e-09,65.7
-4.95103e-09,65.8
6.42047e-09,65.9
-5.30503e-11,66
-2.42105e-09,66.1
-2.31787e-09,66.2
1.38602e-09,66.3
-5.37283e-09,66.4
3.8663e-09,66.5
-5.2934e-10,66.6
-1.30029e-09,66.7
8.29904e-09,66.8
-1.17614e-08,66.9
1.06878e-08,67
3.03097e-10,67.1
-5.85192e-09,67.2
1.57855e-08,67.3
-1.46845e-08,67.4
1.59273e-08,67.5
-4.64616e-09,67.6
-2.57184e-09,67.7
9.57776e-09,67.8
-1.67539e-08,67.9
1.40725e-08,68
-4.7154e-09,68.1
-2.67065e-09,68.2
8.33815e-09,68.3
-1.34096e-08,68.4
1.35514e-08,68.5
-7.85017e-09,68.6
8.08319e-10,68.7
6.05536e-09,68.8
-2.34207e-09,68.9
6.4663e-09,69
-1.56795e-09,69.1
4.4509e-09,69.2
4.87454e-09,69.3
4.87366e-10,69.4
1.03719e-09,69.5
1.0523e-09,69.6
-8.82552e-10,69.7
4.19757e-10,69.8
3.36961e-09,69.9
-2.4933e-09,70
5.89858e-09,70.1
-9.70848e-09,70.2
2.19387e-09,70.3
-1.87248e-09,70.4
-4.2859e-09,70.5
9.81581e-09,70.6
-1.06642e-08,70.7
6.4195e-09,70.8
-1.62988e-09,70.9
1.83838e-09,71
7.51516e-09,71.1
-1.0528e-08,71.2
9.24717e-09,71.3
-8.77143e-09,71.4
5.85041e-09,71.5
1.21664e-10,71.6
-1.09808e-08,71.7
6.98178e-09,71.8
-9.26408e-09,71.9
3.03073e-09,72
-1.62881e-09,72.1
-9.6345e-09,72.2
1.30057e-08,72.3
-2.99159e-09,72.4
-3.29878e-09,72.5
-4.77967e-10,72.6
-4.59309e-09,72.7
3.92214e-09,72.8
8.68395e-10,72.9
-1.16068e-08,73
5.08703e-09,73.1
-1.42435e-09,73.2
5.45162e-09,73.3
1.1377e-09,73.4
-1.31209e-08,73.5
5.32494e-09,73.6
-1.122e-09,73.7
-1.90334e-09,73.8
-2.90933e-09,73.9
-1.28313e-08,74
8.19769e-09,74.1
-1.78274e-09,74.2
-5.50173e-11,74.3
-1.71079e-09,74.4
-9.19569e-09,74.5
7.98833e-09,74.6
3.91039e-09,74.7
-4.15395e-09,74.8
-3.43869e-09,74.9
-7.83533e-10,75
7.71831e-09,75.1
-4.70091e-09,75.2
-5.86688e-09,75.3
1.4486e-09,75.4
-9.01075e-10,75.5
6.18523e-09,75.6
-4.35337e-09,75.7
-3.66162e-09,75.8
6.89655e-10,75.9
-2.09027e-09,76
5.41994e-09,76.1
-8.7145e-09,76.2
-6.38664e-09,76.3
8.08359e-09,76.4
2.37907e-09,76.5
4.14496e-09,76.6
-4.34698e-10,76.7
1.80311e-09,76.8
3.18126e-09,76.9
-2.15855e-09,77
5.50987e-09,77.1
-1.52502e-09,77.2
-4.96855e-09,77.3
8.85913e-09,77.4
-3.63198e-09,77.5
-7.08065e-10,77.6
7.28262e-10,77.7
-5.29248e-10,77.8
9.12561e-09,77.9
-1.04075e-08,78
2.34631e-09,78.1
9.14476e-09,78.2
-8.24514e-09,78.3
7.07624e-09,78.4
-2.20346e-09,78.5
-5.33217e-10,78.6
6.48282e-10,78.7
1.42721e-09,78.8
8.91391e-09,78.9
-3.15278e-09,79
-1.53694e-09,79.1
6.92835e-09,79.2
-1.2269e-09,79.3
-7.76117e-10,79.4
-9.55397e-10,79.5
-7.70742e-10,79.6
-6.4204e-11,79.7
2.2642e-09,79.8
5.67692e-09,79.9
-3.42661e-10,80
-7.74595e-09,80.1
7.49898e-09,80.2
2.07675e-09,80.3
-1.14776e-09,80.4
-3.28265e-09,80.5
4.02468e-09,80.6
4.88549e-09,80.7
-3.31422e-09,80.8
5.92731e-09,80.9
-2.63973e-09,81
-5.44588e-09,81.1
5.78006e-09,81.2
-2.19218e-09,81.3
1.35808e-09,81.4
-7.62494e-09,81.5
2.23313e-09,81.6
6.81551e-09,81.7
-1.09223e-08,81.8
-3.10922e-09,81.9
4.83568e-09,82
-5.84922e-10,82.1
1.49374e-09,82.2
-1.45893e-09,82.3
1.24377e-10,82.4
-1.08664e-09,82.5
-2.07273e-09,82.6
2.16789e-09,82.7
-6.07101e-09,82.8
-5.13261e-09,82.9
5.24477e-09,83
-1.48237e-09,83.1
-1.76905e-09,83.2
-3.45049e-09,83.3
2.50065e-09,83.4
-1.422e-09,83.5
-9.27167e-09,83.6
