PDE variable 0,arc_length
0.999738,0
0.999738,0.1
0.999738,0.2
0.999737,0.3
0.999736,0.4
0.999735,0.5
0.999733,0.6
0.999731,0.7
0.999728,0.8
0.999726,0.9
0.999723,1
0.999719,1.1
0.999715,1.2
0.999711,1.3
0.999707,1.4
0.999702,1.5
0.999696,1.6
0.999691,1.7
0.999685,1.8
0.999678,1.9
0.999672,2
0.999665,2.1
0.999657,2.2
0.999648,2.3
0.99964,2.4
0.999631,2.5
0.999621,2.6
0.999611,2.7
0.999601,2.8
0.99959,2.9
0.999578,3
0.999565,3.1
0.999553,3.2
0.999539,3.3
0.999525,3.4
0.99951,3.5
0.999495,3.6
0.999478,3.7
0.999461,3.8
0.999443,3.9
0.999425,4
0.999405,4.1
0.999385,4.2
0.999364,4.3
0.999342,4.4
0.999319,4.5
0.999294,4.6
0.999269,4.7
0.999243,4.8
0.999216,4.9
0.999187,5
0.999157,5.1
0.999126,5.2
0.999094,5.3
0.99906,5.4
0.999024,5.5
0.998988,5.6
0.998949,5.7
0.998909,5.8
0.998868,5.9
0.998824,6
0.998779,6.1
0.998731,6.2
0.998682,6.3
0.998631,6.4
0.998577,6.5
0.998521,6.6
0.998463,6.7
0.998403,6.8
0.998339,6.9
0.998273,7
0.998205,7.1
0.998133,7.2
0.998059,7.3
0.997981,7.4
0.9979,7.5
0.997816,7.6
0.997727,7.7
0.997636,7.8
0.99754,7.9
0.997441,8
0.997337,8.1
0.997229,8.2
0.997116,8.3
0.996998,8.4
0.996876,8.5
0.996748,8.6
0.996615,8.7
0.996476,8.8
0.996332,8.9
0.996181,9
0.996024,9.1
0.995861,9.2
0.99569,9.3
0.995512,9.4
0.995327,9.5
0.995134,9.6
0.994933,9.7
0.994723,9.8
0.994505,9.9
0.994277,10
0.99404,10.1
0.993792,10.2
0.993534,10.3
0.993266,10.4
0.992986,10.5
0.992694,10.6
0.99239,10.7
0.992073,10.8
0.991743,10.9
0.991399,11
0.99104,11.1
0.990666,11.2
0.990277,11.3
0.989871,11.4
0.989448,11.5
0.989007,11.6
0.988548,11.7
0.988069,11.8
0.987571,11.9
0.987051,12
0.98651,12.1
0.985946,12.2
0.985358,12.3
0.984746,12.4
0.984109,12.5
0.983444,12.6
0.982752,12.7
0.982031,12.8
0.98128,12.9
0.980498,13
0.979683,13.1
0.978835,13.2
0.977951,13.3
0.977031,13.4
0.976073,13.5
0.975075,13.6
0.974036,13.7
0.972954,13.8
0.971827,13.9
0.970654,14
0.969434,14.1
0.968163,14.2
0.96684,14.3
0.965464,14.4
0.964032,14.5
0.962541,14.6
0.96099,14.7
0.959377,14.8
0.957698,14.9
0.955952,15
0.954136,15.1
0.952247,15.2
0.950284,15.3
0.948242,15.4
0.946119,15.5
0.943913,15.6
0.94162,15.7
0.939238,15.8
0.936762,15.9
0.934191,16
0.931519,16.1
0.928745,16.2
0.925865,16.3
0.922876,16.4
0.919772,16.5
0.916552,16.6
0.913211,16.7
0.909746,16.8
0.906152,16.9
0.902425,17
0.898563,17.1
0.894561,17.2
0.890414,17.3
0.88612,17.4
0.881673,17.5
0.87707,17.6
0.872307,17.7
0.867379,17.8
0.862283,17.9
0.857015,18
0.851571,18.1
0.845947,18.2
0.840139,18.3
0.834144,18.4
0.827958,18.5
0.821578,18.6
0.815001,18.7
0.808223,18.8
0.801242,18.9
0.794055,19
0.78666,19.1
0.779055,19.2
0.771237,19.3
0.763207,19.4
0.754961,19.5
0.7465,19.6
0.737824,19.7
0.728932,19.8
0.719825,19.9
0.710505,20
0.700972,20.1
0.691228,20.2
0.681278,20.3
0.671123,20.4
0.660767,20.5
0.650216,20.6
0.639473,20.7
0.628546,20.8
0.617439,20.9
0.606161,21
0.594718,21.1
0.58312,21.2
0.571376,21.3
0.559494,21.4
0.547485,21.5
0.535361,21.6
0.523132,21.7
0.510812,21.8
0.498413,21.9
0.485947,22
0.473429,22.1
0.460872,22.2
0.448292,22.3
0.435702,22.4
0.423118,22.5
0.410556,22.6
0.39803,22.7
0.385555,22.8
0.373148,22.9
0.360824,23
0.348598,23.1
0.336484,23.2
0.324498,23.3
0.312653,23.4
0.300965,23.5
0.289445,23.6
0.278107,23.7
0.266964,23.8
0.256026,23.9
0.245305,24
0.23481,24.1
0.224551,24.2
0.214537,24.3
0.204774,24.4
0.19527,24.5
0.18603,24.6
0.17706,24.7
0.168363,24.8
0.159941,24.9
0.151798,25
0.143935,25.1
0.136353,25.2
0.12905,25.3
0.122026,25.4
0.115278,25.5
0.108806,25.6
0.102604,25.7
0.0966693,25.8
0.0909976,25.9
0.0855837,26
0.0804222,26.1
0.0755073,26.2
0.0708328,26.3
0.0663921,26.4
0.0621783,26.5
0.0581844,26.6
0.0544031,26.7
0.0508273,26.8
0.0474491,26.9
0.0442612,27
0.041256,27.1
0.038426,27.2
0.0357636,27.3
0.0332614,27.4
0.030912,27.5
0.0287083,27.6
0.0266431,27.7
0.0247095,27.8
0.0229007,27.9
0.0212103,28
0.0196318,28.1
0.0181591,28.2
0.0167862,28.3
0.0155074,28.4
0.0143173,28.5
0.0132105,28.6
0.0121821,28.7
0.0112271,28.8
0.0103411,28.9
0.00951955,29
0.00875839,29.1
0.00805366,29.2
0.00740164,29.3
0.00679878,29.4
0.00624173,29.5
0.00572738,29.6
0.00525271,29.7
0.00481496,29.8
0.00441152,29.9
0.0040399,30
0.0036978,30.1
0.00338304,30.2
0.00309363,30.3
0.00282767,30.4
0.00258339,30.5
0.00235916,30.6
0.00215341,30.7
0.00196473,30.8
0.00179182,30.9
0.00163341,31
0.00148839,31.1
0.00135564,31.2
0.00123423,31.3
0.00112324,31.4
0.00102179,31.5
0.000929145,31.6
0.000844566,31.7
0.000767349,31.8
0.00069694,31.9
0.000632737,32
0.000574237,32.1
0.000520948,32.2
0.000472392,32.3
0.000428232,32.4
0.000388042,32.5
0.000351493,32.6
0.00031829,32.7
0.000288075,32.8
0.000260653,32.9
0.000235772,33
0.000213165,33.1
0.000192694,33.2
0.000174074,33.3
0.000157224,33.4
0.00014197,33.5
0.000128119,33.6
0.000115618,33.7
0.000104273,33.8
9.39854e-05,33.9
8.47399e-05,34
7.63412e-05,34.1
6.87673e-05,34.2
6.19219e-05,34.3
5.5712e-05,34.4
5.01484e-05,34.5
4.5101e-05,34.6
4.05541e-05,34.7
3.64621e-05,34.8
3.27383e-05,34.9
2.94237e-05,35
2.64319e-05,35.1
2.37225e-05,35.2
2.12931e-05,35.3
1.90819e-05,35.4
1.71243e-05,35.5
1.53577e-05,35.6
1.37581e-05,35.7
1.23341e-05,35.8
1.10371e-05,35.9
9.87202e-06,36
8.86386e-06,36.1
7.92308e-06,36.2
7.08241e-06,36.3
6.33119e-06,36.4
5.65315e-06,36.5
5.0586e-06,36.6
4.5272e-06,36.7
4.04562e-06,36.8
3.60338e-06,36.9
3.20839e-06,37
2.87064e-06,37.1
2.57033e-06,37.2
2.28612e-06,37.3
2.02831e-06,37.4
1.80866e-06,37.5
1.6154e-06,37.6
1.44739e-06,37.7
1.28627e-06,37.8
1.13702e-06,37.9
1.00831e-06,38
8.98626e-07,38.1
8.10804e-07,38.2
7.21532e-07,38.3
6.23382e-07,38.4
5.61074e-07,38.5
5.05259e-07,38.6
4.41029e-07,38.7
4.06114e-07,38.8
3.4853e-07,38.9
3.01296e-07,39
2.75405e-07,39.1
2.47368e-07,39.2
2.19936e-07,39.3
1.90732e-07,39.4
1.63654e-07,39.5
1.54917e-07,39.6
1.32925e-07,39.7
1.23137e-07,39.8
1.06499e-07,39.9
7.94989e-08,40
8.68265e-08,40.1
6.89516e-08,40.2
7.0256e-08,40.3
6.03151e-08,40.4
3.92746e-08,40.5
5.62049e-08,40.6
4.02251e-08,40.7
3.11378e-08,40.8
3.62142e-08,40.9
1.92361e-08,41
1.91693e-08,41.1
3.13021e-08,41.2
2.19848e-08,41.3
2.42393e-08,41.4
9.18848e-09,41.5
1.35338e-08,41.6
1.42507e-08,41.7
5.80771e-09,41.8
2.00757e-08,41.9
4.36985e-09,42
3.90169e-09,42.1
1.55283e-08,42.2
5.23426e-09,42.3
8.24627e-09,42.4
9.85883e-10,42.5
-1.39637e-09,42.6
1.13044e-08,42.7
1.37339e-10,42.8
1.66637e-09,42.9
9.82571e-09,43
-6.04009e-09,43.1
5.79359e-09,43.2
4.18642e-09,43.3
9.0975e-10,43.4
8.18578e-10,43.5
-2.5169e-09,43.6
4.07247e-09,43.7
1.61566e-09,43.8
-1.64759e-09,43.9
8.22884e-09,44
1.37551e-10,44.1
-3.88176e-09,44.2
8.44457e-09,44.3
-1.13144e-09,44.4
1.16963e-09,44.5
2.69843e-09,44.6
4.96348e-09,44.7
1.90191e-10,44.8
1.03636e-09,44.9
8.3254e-09,45
4.42397e-09,45.1
1.15529e-09,45.2
-2.41109e-09,45.3
1.67075e-09,45.4
3.91534e-10,45.5
3.57151e-09,45.6
7.97272e-09,45.7
-1.36591e-09,45.8
-9.59863e-10,45.9
3.19524e-09,46
4.44504e-10,46.1
-3.32798e-09,46.2
-1.44655e-09,46.3
1.46474e-10,46.4
6.65166e-09,46.5
-2.72963e-09,46.6
3.30683e-09,46.7
1.23047e-09,46.8
-1.06636e-08,46.9
7.83621e-09,47
-6.60698e-10,47.1
-3.78801e-09,47.2
2.11946e-09,47.3
-5.31847e-09,47.4
6.10124e-09,47.5
-3.18849e-10,47.6
-1.29211e-09,47.7
6.76566e-09,47.8
-1.16031e-08,47.9
2.69211e-09,48
8.56769e-09,48.1
-6.76039e-09,48.2
3.94664e-09,48.3
-2.63945e-09,48.4
2.29694e-09,48.5
8.99944e-09,48.6
-3.87922e-09,48.7
1.20683e-09,48.8
-3.29644e-09,48.9
-1.82353e-09,49
1.16115e-08,49.1
5.65003e-10,49.2
-3.22874e-09,49.3
2.35129e-09,49.4
-4.52296e-10,49.5
7.23631e-09,49.6
-3.36964e-09,49.7
6.41389e-10,49.8
-2.33466e-09,49.9
-8.85236e-09,50
1.32356e-08,50.1
6.35334e-09,50.2
-6.47409e-09,50.3
-4.48003e-09,50.4
-1.87298e-09,50.5
5.34987e-10,50.6
2.22969e-09,50.7
-9.64949e-10,50.8
-3.59761e-09,50.9
-2.47995e-09,51
2.4492e-09,51.1
3.48716e-09,51.2
-1.02626e-08,51.3
-3.12936e-09,51.4
-1.37532e-09,51.5
3.08211e-09,51.6
-2.91633e-09,51.7
-1.75287e-09,51.8
8.18996e-10,51.9
-5.44392e-09,52
2.55563e-09,52.1
1.58862e-09,52.2
-2.31032e-09,52.3
-7.80388e-09,52.4
2.18338e-09,52.5
6.82154e-09,52.6
-1.80999e-09,52.7
6.56861e-10,52.8
1.50926e-09,52.9
-4.3526e-09,53
5.93533e-09,53.1
7.10688e-09,53.2
-3.12253e-09,53.3
-1.28848e-09,53.4
-7.21045e-10,53.5
1.0045e-08,53.6
1.52965e-09,53.7
-2.99947e-10,53.8
1.42043e-09,53.9
-4.96202e-09,54
3.96445e-09,54.1
5.31534e-09,54.2
-3.10763e-09,54.3
-4.89044e-09,54.4
-5.23498e-09,54.5
2.39317e-09,54.6
1.06312e-08,54.7
-1.19108e-08,54.8
9.05498e-10,54.9
-7.55187e-09,55
-9.6894e-09,55.1
1.22662e-08,55.2
-3.19975e-09,55.3
-4.18212e-09,55.4
-5.00695e-09,55.5
-2.45331e-09,55.6
3.39616e-09,55.7
-4.45832e-09,55.8
-4.9644e-09,55.9
3.55911e-09,56
-8.53623e-09,56.1
5.2887e-09,56.2
5.50885e-09,56.3
-1.04018e-08,56.4
8.49494e-09,56.5
-5.42393e-09,56.6
4.13551e-09,56.7
2.91173e-09,56.8
-6.69218e-09,56.9
1.29037e-08,57
-1.17232e-10,57.1
-4.46411e-09,57.2
1.24488e-08,57.3
-5.59982e-09,57.4
-1.80315e-09,57.5
7.00237e-09,57.6
-2.0722e-09,57.7
6.38714e-09,57.8
-4.9311e-09,57.9
4.24188e-09,58
2.18551e-09,58.1
-6.85006e-09,58.2
7.71397e-09,58.3
-3.76585e-09,58.4
-5.01439e-09,58.5
4.6048e-09,58.6
-1.44497e-09,58.7
-3.39315e-09,58.8
-1.93475e-09,58.9
-4.40001e-09,59
3.45095e-09,59.1
-6.09434e-09,59.2
-1.90172e-09,59.3
1.8061e-10,59.4
-9.79876e-09,59.5
-3.392e-09,59.6
1.77092e-09,59.7
3.02949e-09,59.8
-7.84726e-09,59.9
-3.61667e-10,60
-3.50989e-09,60.1
-3.02161e-09,60.2
9.14567e-10,60.3
-9.13774e-10,60.4
-6.04529e-10,60.5
-3.32316e-09,60.6
4.75179e-09,60.7
-2.00096e-10,60.8
-4.97018e-09,60.9
1.68137e-09,61
3.90004e-09,61.1
-4.24201e-09,61.2
2.86239e-09,61.3
3.88547e-09,61.4
2.90638e-09,61.5
5.11441e-09,61.6
-4.86074e-09,61.7
6.3021e-09,61.8
-2.06213e-09,61.9
5.29991e-10,62
9.78557e-09,62.1
-4.81281e-09,62.2
3.20454e-10,62.3
3.48564e-09,62.4
-1.98438e-09,62.5
-5.11269e-10,62.6
-3.78655e-09,62.7
6.3693e-11,62.8
4.57115e-10,62.9
-6.98313e-09,63
6.61426e-09,63.1
-5.3606e-09,63.2
-8.85641e-09,63.3
2.52866e-09,63.4
-3.87598e-09,63.5
-4.16787e-10,63.6
-4.13231e-09,63.7
-5.83931e-09,63.8
-5.99224e-10,63.9
-7.27383e-09,64
2.40369e-10,64.1
5.04964e-09,64.2
-1.19762e-08,64.3
3.34561e-09,64.4
1.36731e-10,64.5
-6.55794e-09,64.6
5.99213e-09,64.7
-5.19546e-09,64.8
8.5906e-09,64.9
-1.62222e-10,65
-1.86385e-10,65.1
1.07358e-08,65.2
-4.31737e-09,65.3
1.26982e-09,65.4
8.406e-09,65.5
-1.76026e-09,65.6
6.30789e-09,65.7
3.24831e-09,65.8
-7.94994e-11,65.9
9.20295e-09,66
-4.30765e-09,66.1
8.63241e-09,66.2
-2.2064e-09,66.3
-8.77592e-09,66.4
1.40199e-08,66.5
-6.94914e-10,66.6
1.26996e-09,66.7
-1.48453e-09,66.8
-4.31113e-09,66.9
1.72471e-09,67
-2.20539e-09,67.1
-1.40065e-09,67.2
1.6463e-10,67.3
-8.59497e-09,67.4
4.03101e-09,67.5
1.75769e-09,67.6
-7.07613e-09,67.7
-9.27946e-10,67.8
-5.59807e-09,67.9
2.38439e-09,68
-2.61205e-09,68.1
1.63268e-09,68.2
-5.9312e-10,68.3
-7.50164e-09,68.4
1.55516e-09,68.5
5.74539e-09,68.6
3.34665e-10,68.7
-3.6521e-09,68.8
2.98873e-10,68.9
1.39965e-09,69
3.87433e-10,69.1
3.18374e-09,69.2
6.63471e-09,69.3
-4.75197e-09,69.4
6.10504e-09,69.5
3.19986e-09,69.6
1.31715e-09,69.7
4.3118e-09,69.8
-2.24073e-09,69.9
9.43768e-09,70
-1.51781e-09,70.1
5.36757e-09,70.2
7.18964e-09,70.3
-2.58982e-09,70.4
2.68714e-11,70.5
3.73586e-09,70.6
2.77458e-09,70.7
-4.85351e-10,70.8
-3.53123e-09,70.9
1.20419e-09,71
6.37691e-09,71.1
-5.36272e-09,71.2
5.15166e-09,71.3
-8.45496e-09,71.4
-6.58653e-09,71.5
6.28933e-09,71.6
-2.81167e-09,71.7
-5.04378e-10,71.8
-5.29579e-09,71.9
-2.37967e-09,72
4.15286e-10,72.1
-5.57516e-09,72.2
-1.6606e-09,72.3
-6.18888e-10,72.4
-8.85279e-09,72.5
4.00882e-09,72.6
1.78004e-10,72.7
-2.762e-09,72.8
-1.17542e-09,72.9
-4.40433e-09,73
7.18603e-09,73.1
-1.85774e-09,73.2
7.48348e-10,73.3
4.4756e-09,73.4
-2.37694e-09,73.5
2.70147e-09,73.6
8.80565e-09,73.7
2.04095e-10,73.8
3.13778e-09,73.9
2.00101e-09,74
3.5733e-09,74.1
3.73773e-09,74.2
-3.48729e-09,74.3
1.04889e-08,74.4
-2.6619e-09,74.5
-4.00832e-10,74.6
7.53319e-09,74.7
-2.75104e-09,74.8
2.29848e-09,74.9
-2.48023e-09,75
-4.90098e-10,75.1
1.5592e-10,75.2
-3.19105e-09,75.3
1.03716e-09,75.4
-7.25317e-10,75.5
-7.71702e-09,75.6
4.37939e-09,75.7
-4.6131e-09,75.8
-8.26682e-09,75.9
-4.00997e-09,76
-4.5424e-09,76.1
7.66378e-09,76.2
-7.915e-09,76.3
-1.76334e-09,76.4
-1.73983e-09,76.5
-7.70222e-09,76.6
3.49101e-09,76.7
-1.13414e-09,76.8
-2.36067e-09,76.9
-1.05158e-09,77
2.53825e-10,77.1
4.48082e-09,77.2
-2.83412e-09,77.3
-1.52245e-09,77.4
4.82016e-09,77.5
-5.38812e-09,77.6
4.85405e-09,77.7
3.50251e-09,77.8
-9.43959e-10,77.9
3.1449e-09,78
-3.08327e-09,78.1
7.28487e-09,78.2
5.35979e-10,78.3
-1.34496e-09,78.4
5.40429e-09,78.5
-2.45981e-09,78.6
1.13497e-09,78.7
4.53696e-09,78.8
-2.16484e-09,78.9
2.14985e-09,79
-2.47822e-09,79.1
-1.79746e-10,79.2
3.15854e-09,79.3
-8.68629e-09,79.4
7.19787e-09,79.5
-5.1744e-09,79.6
-6.32507e-09,79.7
3.27331e-09,79.8
-1.17702e-09,79.9
7.82043e-10,80
-6.05999e-09,80.1
-1.90719e-09,80.2
-1.97004e-09,80.3
-4.42894e-09,80.4
-3.41976e-09,80.5
1.12912e-09,80.6
-5.44552e-09,80.7
2.1132e-09,80.8
-2.21481e-09,80.9
-7.90773e-09,81
-5.1819e-10,81.1
-3.17929e-09,81.2
4.47161e-09,81.3
-4.02645e-09,81.4
3.29085e-10,81.5
4.47576e-09,81.6
-2.08756e-09,81.7
4.60159e-10,81.8
2.51256e-09,81.9
5.47395e-10,82
1.58103e-09,82.1
3.1462e-09,82.2
3.46518e-09,82.3
2.71891e-09,82.4
-2.13774e-09,82.5
7.42752e-09,82.6
-8.18056e-10,82.7
1.13753e-09,82.8
3.45188e-09,82.9
-4.83381e-10,83
3.20892e-09,83.1
-1.1152e-09,83.2
4.40561e-09,83.3
-8.87644e-10,83.4
-2.66149e-09,83.5
2.26339e-09,83.6
-6.85897e-10,83.7
-5.14208e-09,83.8
2.91076e-09,83.9
-4.1808e-09,84
-8.71855e-10,84.1
-3.50347e-09,84.2
-4.70449e-09,84.3
6.04972e-09,84.4
-8.67239e-09,84.5
3.14419e-09,84.6
-5.03827e-09,84.7
-5.93633e-09,84.8
4.10396e-09,84.9
-8.30905e-10,85
1.18576e-09,85.1
-1.26522e-09,85.2
-1.6208e-09,85.3
3.90682e-09,85.4
-3.66573e-09,85.5
-2.97259e-09,85.6
8.92238e-09,85.7
-5.41233e-09,85.8
7.1622e-09,85.9
1.03044e-09,86
-1.68661e-09,86.1
6.8768e-09,86.2
-5.1941e-09,86.3
8.26564e-09,86.4
-2.16728e-09,86.5
1.01195e-09,86.6
9.30538e-09,86.7
-2.98419e-09,86.8
1.43344e-09,86.9
2.66941e-09,87
-1.46597e-09,87.1
4.69616e-09,87.2
-3.31483e-09,87.3
1.16132e-09,87.4
3.98473e-09,87.5
-6.39219e-09,87.6
8.4795e-09,87.7
-3.71623e-09,87.8
-2.03399e-09,87.9
3.06011e-09,88
-3.79452e-09,88.1
2.76543e-09,88.2
-1.08937e-09,88.3
-1.02298e-09,88.4
1.02746e-09,88.5
-4.26349e-09,88.6
7.09885e-10,88.7
3.66464e-09,88.8
-8.06526e-09,88.9
4.92708e-09,89
-3.6844e-09,89.1
-2.20191e-09,89.2
-1.0161e-09,89.3
-4.52732e-09,89.4
7.54372e-09,89.5
-3.86387e-09,89.6
-5.95753e-10,89.7
-6.62403e-10,89.8
-1.919e-09,89.9
3.36473e-10,90
1.24691e-09,90.1
-1.20954e-09,90.2
1.81012e-09,90.3
3.88274e-09,90.4
2.13385e-11,90.5
1.26806e-10,90.6
-3.44323e-09,90.7
7.02198e-09,90.8
-1.2708e-09,90.9
1.22868e-09,91
2.92939e-09,91.1
8.02757e-10,91.2
3.54466e-09,91.3
-1.8615e-09,91.4
3.03388e-09,91.5
-1.13808e-09,91.6
-9.9837e-11,91.7
1.74828e-09,91.8
3.76217e-10,91.9
-1.23406e-09,92
2.28957e-09,92.1
-1.91067e-09,92.2
-1.39267e-09,92.3
-3.11651e-09,92.4
-1.81172e-09,92.5
2.38198e-09,92.6
-6.81884e-09,92.7
3.76036e-09,92.8
-4.58139e-09,92.9
-4.18185e-09,93
1.00315e-09,93.1
-3.01897e-09,93.2
1.20697e-09,93.3
-2.4268e-09,93.4
-3.54043e-09,93.5
3.39035e-09,93.6
-4.11293e-09,93.7
-9.41263e-10,93.8
3.95007e-09,93.9
-6.65931e-09,94
8.6326e-09,94.1
-3.66965e-09,94.2
-1.55102e-09,94.3
2.14461e-09,94.4
-5.44973e-09,94.5
9.52245e-09,94.6
-4.56578e-09,94.7
1.47248e-09,94.8
5.07172e-09,94.9
-3.67629e-09,95
1.13924e-09,95.1
8.6152e-10,95.2
-3.86877e-09,95.3
6.36188e-09,95.4
-2.61343e-09,95.5
-1.43242e-10,95.6
3.74313e-09,95.7
-8.24106e-09,95.8
1.01611e-08,95.9
-6.81455e-09,96
-2.02212e-09,96.1
3.76742e-09,96.2
-4.23991e-09,96.3
6.83465e-09,96.4
-4.1032e-09,96.5
8.97133e-10,96.6
2.30308e-09,96.7
-4.59611e-09,96.8
2.55958e-09,96.9
1.18205e-09,97
-4.34625e-09,97.1
7.32782e-09,97.2
-4.18595e-09,97.3
-1.63243e-11,97.4
6.39318e-11,97.5
-3.76044e-09,97.6
5.40188e-09,97.7
-4.71253e-09,97.8
2.27071e-09,97.9
-5.82394e-11,98
-4.04433e-09,98.1
9.83221e-10,98.2
1.53307e-09,98.3
-1.36898e-09,98.4
1.60647e-09,98.5
-1.79513e-09,98.6
1.43181e-09,98.7
-1.53086e-10,98.8
-5.37016e-09,98.9
6.17151e-09,99
-3.33445e-09,99.1
4.85952e-09,99.2
-7.59073e-10,99.3
-1.20524e-09,99.4
2.5502e-09,99.5
-4.79641e-11,99.6
3.16603e-09,99.7
-2.60644e-09,99.8
3.17776e-09,99.9
3.9042e-09,100
