Time,avg(PDE variable 0),std(PDE variable 0)
0,0.00990099,0.0990545
1,0.00549071,0.000651049
2,0.0060623,5.99355e-05
3,0.00669304,5.51703e-06
4,0.00738893,5.07495e-07
5,0.00815659,4.2581e-08
6,0.00900328,2.43135e-09
7,0.00993698,4.29906e-10
8,0.0109665,5.93935e-10
9,0.0121013,2.28241e-10
10,0.013352,5.57789e-10
11,0.01473,6.80986e-10
12,0.016248,6.02584e-10
13,0.0179195,6.10447e-10
14,0.0197596,8.63997e-10
15,0.0217845,6.34532e-10
16,0.0240118,6.70998e-10
17,0.0264608,1.00178e-09
18,0.0291521,1.25839e-09
19,0.0321082,1.13581e-09
20,0.0353532,1.31567e-09
21,0.0389131,1.28668e-09
22,0.0428157,1.44555e-09
23,0.0470906,1.8088e-09
24,0.0517694,2.0707e-09
25,0.0568855,1.99563e-09
26,0.0624742,1.92295e-09
27,0.0685723,1.44033e-09
28,0.0752183,2.41477e-09
29,0.0824517,2.23861e-09
30,0.0903133,1.87912e-09
31,0.0988443,3.66935e-09
32,0.108086,3.71124e-09
33,0.118079,2.67838e-09
34,0.128864,5.31718e-09
35,0.140478,7.03274e-09
36,0.152956,8.31668e-09
37,0.16633,7.32511e-09
38,0.180624,5.19553e-09
39,0.195861,6.04091e-09
40,0.212052,8.20032e-09
41,0.229203,8.72187e-09
42,0.247308,7.48322e-09
43,0.266352,1.12133e-08
44,0.286307,9.7149e-09
45,0.307135,1.52268e-08
46,0.328784,1.56175e-08
47,0.351189,9.24932e-09
48,0.374274,1.23944e-08
49,0.39795,1.36616e-08
50,0.422118,1.7279e-08
51,0.44667,1.4417e-08
52,0.471489,1.14971e-08
53,0.496455,1.85176e-08
54,0.521443,1.82378e-08
55,0.546329,1.86087e-08
56,0.570991,2.10188e-08
57,0.59531,2.45166e-08
58,0.619174,2.36718e-08
59,0.642481,1.31051e-08
60,0.665136,2.49433e-08
61,0.687059,3.08578e-08
62,0.70818,2.48224e-08
63,0.728442,2.48326e-08
64,0.747801,2.27443e-08
65,0.766226,2.51877e-08
66,0.783696,3.54975e-08
67,0.800203,2.99862e-08
68,0.815749,2.49496e-08
69,0.830343,2.19975e-08
70,0.844004,2.15092e-08
71,0.856756,2.43911e-08
72,0.868629,3.56382e-08
73,0.879657,2.55316e-08
74,0.889877,2.51893e-08
75,0.899329,3.60893e-08
76,0.908055,3.10645e-08
77,0.916095,3.58374e-08
78,0.923492,3.32006e-08
79,0.930287,3.82215e-08
80,0.93652,4.13541e-08
81,0.942231,3.61876e-08
82,0.947457,4.4543e-08
83,0.952234,4.29386e-08
84,0.956597,5.0322e-08
85,0.960578,3.78338e-08
86,0.964208,5.00082e-08
87,0.967515,3.63344e-08
88,0.970526,3.53689e-08
89,0.973265,3.20754e-08
90,0.975756,4.07282e-08
91,0.978021,2.99776e-08
92,0.980078,3.22407e-08
93,0.981946,2.83402e-08
94,0.983642,3.78012e-08
95,0.985182,5.56796e-08
96,0.986578,2.79253e-08
97,0.987844,3.94996e-08
98,0.988992,3.94441e-08
99,0.990033,3.7579e-08
100,0.990977,2.81961e-08
101,0.991831,3.54673e-08
102,0.992606,2.24076e-08
103,0.993307,4.9928e-08
104,0.993943,4.45572e-08
105,0.994518,2.96762e-08
106,0.995039,3.24614e-08
107,0.995511,5.05602e-08
108,0.995938,2.28817e-08
109,0.996324,3.03466e-08
110,0.996674,2.94526e-08
111,0.996991,4.05433e-08
112,0.997278,4.53059e-08
113,0.997537,4.4659e-08
114,0.997772,3.69129e-08
115,0.997984,4.7546e-08
116,0.998176,2.60097e-08
117,0.99835,3.40125e-08
118,0.998508,3.45718e-08
119,0.99865,4.16158e-08
120,0.998779,2.62039e-08
121,0.998895,4.42691e-08
122,0.999001,5.49231e-08
123,0.999096,2.87243e-08
124,0.999182,3.60032e-08
125,0.99926,2.88129e-08
126,0.999331,3.30974e-08
127,0.999395,3.11068e-08
128,0.999452,3.88797e-08
129,0.999505,2.6274e-08
130,0.999552,1.83421e-08
131,0.999595,4.33744e-08
132,0.999633,1.88979e-08
133,0.999668,2.58156e-08
134,0.9997,3.76998e-08
135,0.999728,3.72603e-08
136,0.999754,2.53318e-08
137,0.999777,8.26429e-09
138,0.999797,2.58688e-08
139,0.999816,2.6596e-08
140,0.999833,1.30361e-08
141,0.999848,2.04576e-08
142,0.999862,2.78754e-08
143,0.999874,2.59296e-08
144,0.999886,3.65575e-08
145,0.999896,1.17237e-08
146,0.999905,1.71907e-08
147,0.999914,2.51017e-08
148,0.99992,1.94836e-08
149,0.99992,1.94836e-08
150,0.99992,1.94836e-08
151,0.99992,1.94836e-08
152,0.99992,1.94836e-08
153,0.99992,1.94836e-08
154,0.99992,1.94836e-08
155,0.99992,1.94836e-08
156,0.99992,1.94836e-08
157,0.99992,1.94836e-08
158,0.99992,1.94836e-08
159,0.99992,1.94836e-08
160,0.99992,1.94836e-08
161,0.99992,1.94836e-08
162,0.99992,1.94836e-08
163,0.99992,1.94836e-08
164,0.99992,1.94836e-08
165,0.99992,1.94836e-08
166,0.99992,1.94836e-08
167,0.99992,1.94836e-08
168,0.99992,1.94836e-08
169,0.99992,1.94836e-08
170,0.99992,1.94836e-08
171,0.99992,1.94836e-08
172,0.99992,1.94836e-08
173,0.99992,1.94836e-08
174,0.99992,1.94836e-08
175,0.99992,1.94836e-08
176,0.99992,1.94836e-08
177,0.99992,1.94836e-08
178,0.99992,1.94836e-08
179,0.99992,1.94836e-08
180,0.99992,1.94836e-08
181,0.99992,1.94836e-08
182,0.99992,1.94836e-08
183,0.99992,1.94836e-08
184,0.99992,1.94836e-08
185,0.99992,1.94836e-08
186,0.99992,1.94836e-08
187,0.99992,1.94836e-08
188,0.99992,1.94836e-08
189,0.99992,1.94836e-08
190,0.99992,1.94836e-08
191,0.99992,1.94836e-08
192,0.99992,1.94836e-08
193,0.99992,1.94836e-08
194,0.99992,1.94836e-08
195,0.99992,1.94836e-08
196,0.99992,1.94836e-08
197,0.99992,1.94836e-08
198,0.99992,1.94836e-08
199,0.99992,1.94836e-08
200,0.99992,1.94836e-08
201,0.99992,1.94836e-08
202,0.99992,1.94836e-08
203,0.99992,1.94836e-08
204,0.99992,1.94836e-08
205,0.99992,1.94836e-08
206,0.99992,1.94836e-08
207,0.99992,1.94836e-08
208,0.99992,1.94836e-08
209,0.99992,1.94836e-08
210,0.99992,1.94836e-08
211,0.99992,1.94836e-08
212,0.99992,1.94836e-08
213,0.99992,1.94836e-08
214,0.99992,1.94836e-08
215,0.99992,1.94836e-08
216,0.99992,1.94836e-08
217,0.99992,1.94836e-08
218,0.99992,1.94836e-08
219,0.99992,1.94836e-08
220,0.99992,1.94836e-08
221,0.99992,1.94836e-08
222,0.99992,1.94836e-08
223,0.99992,1.94836e-08
224,0.99992,1.94836e-08
225,0.99992,1.94836e-08
226,0.99992,1.94836e-08
227,0.99992,1.94836e-08
228,0.99992,1.94836e-08
229,0.99992,1.94836e-08
230,0.99992,1.94836e-08
231,0.99992,1.94836e-08
232,0.99992,1.94836e-08
233,0.99992,1.94836e-08
234,0.99992,1.94836e-08
235,0.99992,1.94836e-08
236,0.99992,1.94836e-08
237,0.99992,1.94836e-08
238,0.99992,1.94836e-08
239,0.99992,1.94836e-08
240,0.99992,1.94836e-08
241,0.99992,1.94836e-08
242,0.99992,1.94836e-08
243,0.99992,1.94836e-08
244,0.99992,1.94836e-08
245,0.99992,1.94836e-08
246,0.99992,1.94836e-08
247,0.99992,1.94836e-08
248,0.99992,1.94836e-08
249,0.99992,1.94836e-08
250,0.99992,1.94836e-08
251,0.99992,1.94836e-08
252,0.99992,1.94836e-08
253,0.99992,1.94836e-08
254,0.99992,1.94836e-08
255,0.99992,1.94836e-08
256,0.99992,1.94836e-08
257,0.99992,1.94836e-08
258,0.99992,1.94836e-08
259,0.99992,1.94836e-08
260,0.99992,1.94836e-08
261,0.99992,1.94836e-08
262,0.99992,1.94836e-08
263,0.99992,1.94836e-08
264,0.99992,1.94836e-08
265,0.99992,1.94836e-08
266,0.99992,1.94836e-08
267,0.99992,1.94836e-08
268,0.99992,1.94836e-08
269,0.99992,1.94836e-08
270,0.99992,1.94836e-08
271,0.99992,1.94836e-08
272,0.99992,1.94836e-08
273,0.99992,1.94836e-08
274,0.99992,1.94836e-08
275,0.99992,1.94836e-08
276,0.99992,1.94836e-08
277,0.99992,1.94836e-08
278,0.99992,1.94836e-08
279,0.99992,1.94836e-08
280,0.99992,1.94836e-08
281,0.99992,1.94836e-08
282,0.99992,1.94836e-08
283,0.99992,1.94836e-08
284,0.99992,1.94836e-08
285,0.99992,1.94836e-08
286,0.99992,1.94836e-08
287,0.99992,1.94836e-08
288,0.99992,1.94836e-08
289,0.99992,1.94836e-08
290,0.99992,1.94836e-08
291,0.99992,1.94836e-08
292,0.99992,1.94836e-08
293,0.99992,1.94836e-08
294,0.99992,1.94836e-08
295,0.99992,1.94836e-08
296,0.99992,1.94836e-08
297,0.99992,1.94836e-08
298,0.99992,1.94836e-08
299,0.99992,1.94836e-08
300,0.99992,1.94836e-08
301,0.99992,1.94836e-08
302,0.99992,1.94836e-08
303,0.99992,1.94836e-08
304,0.99992,1.94836e-08
305,0.99992,1.94836e-08
306,0.99992,1.94836e-08
307,0.99992,1.94836e-08
308,0.99992,1.94836e-08
309,0.99992,1.94836e-08
310,0.99992,1.94836e-08
311,0.99992,1.94836e-08
312,0.99992,1.94836e-08
313,0.99992,1.94836e-08
314,0.99992,1.94836e-08
315,0.99992,1.94836e-08
316,0.99992,1.94836e-08
317,0.99992,1.94836e-08
318,0.99992,1.94836e-08
319,0.99992,1.94836e-08
320,0.99992,1.94836e-08
321,0.99992,1.94836e-08
322,0.99992,1.94836e-08
323,0.99992,1.94836e-08
324,0.99992,1.94836e-08
325,0.99992,1.94836e-08
326,0.99992,1.94836e-08
327,0.99992,1.94836e-08
328,0.99992,1.94836e-08
329,0.99992,1.94836e-08
330,0.99992,1.94836e-08
331,0.99992,1.94836e-08
332,0.99992,1.94836e-08
333,0.99992,1.94836e-08
334,0.99992,1.94836e-08
335,0.99992,1.94836e-08
336,0.99992,1.94836e-08
337,0.99992,1.94836e-08
338,0.99992,1.94836e-08
339,0.99992,1.94836e-08
340,0.99992,1.94836e-08
341,0.99992,1.94836e-08
342,0.99992,1.94836e-08
343,0.99992,1.94836e-08
344,0.99992,1.94836e-08
345,0.99992,1.94836e-08
346,0.99992,1.94836e-08
347,0.99992,1.94836e-08
348,0.99992,1.94836e-08
349,0.99992,1.94836e-08
350,0.99992,1.94836e-08
351,0.99992,1.94836e-08
352,0.99992,1.94836e-08
353,0.99992,1.94836e-08
354,0.99992,1.94836e-08
355,0.99992,1.94836e-08
356,0.99992,1.94836e-08
357,0.99992,1.94836e-08
358,0.99992,1.94836e-08
359,0.99992,1.94836e-08
360,0.99992,1.94836e-08
361,0.99992,1.94836e-08
362,0.99992,1.94836e-08
363,0.99992,1.94836e-08
364,0.99992,1.94836e-08
365,0.99992,1.94836e-08
366,0.99992,1.94836e-08
367,0.99992,1.94836e-08
368,0.99992,1.94836e-08
369,0.99992,1.94836e-08
370,0.99992,1.94836e-08
371,0.99992,1.94836e-08
372,0.99992,1.94836e-08
373,0.99992,1.94836e-08
374,0.99992,1.94836e-08
375,0.99992,1.94836e-08
376,0.99992,1.94836e-08
377,0.99992,1.94836e-08
378,0.99992,1.94836e-08
379,0.99992,1.94836e-08
380,0.99992,1.94836e-08
381,0.99992,1.94836e-08
382,0.99992,1.94836e-08
383,0.99992,1.94836e-08
384,0.99992,1.94836e-08
385,0.99992,1.94836e-08
386,0.99992,1.94836e-08
387,0.99992,1.94836e-08
388,0.99992,1.94836e-08
389,0.99992,1.94836e-08
390,0.99992,1.94836e-08
391,0.99992,1.94836e-08
392,0.99992,1.94836e-08
393,0.99992,1.94836e-08
394,0.99992,1.94836e-08
395,0.99992,1.94836e-08
396,0.99992,1.94836e-08
397,0.99992,1.94836e-08
398,0.99992,1.94836e-08
399,0.99992,1.94836e-08
400,0.99992,1.94836e-08
401,0.99992,1.94836e-08
402,0.99992,1.94836e-08
403,0.99992,1.94836e-08
404,0.99992,1.94836e-08
405,0.99992,1.94836e-08
406,0.99992,1.94836e-08
407,0.99992,1.94836e-08
408,0.99992,1.94836e-08
409,0.99992,1.94836e-08
410,0.99992,1.94836e-08
411,0.99992,1.94836e-08
412,0.99992,1.94836e-08
413,0.99992,1.94836e-08
414,0.99992,1.94836e-08
415,0.99992,1.94836e-08
416,0.99992,1.94836e-08
417,0.99992,1.94836e-08
418,0.99992,1.94836e-08
419,0.99992,1.94836e-08
420,0.99992,1.94836e-08
421,0.99992,1.94836e-08
422,0.99992,1.94836e-08
423,0.99992,1.94836e-08
424,0.99992,1.94836e-08
425,0.99992,1.94836e-08
426,0.99992,1.94836e-08
427,0.99992,1.94836e-08
428,0.99992,1.94836e-08
429,0.99992,1.94836e-08
430,0.99992,1.94836e-08
431,0.99992,1.94836e-08
432,0.99992,1.94836e-08
433,0.99992,1.94836e-08
434,0.99992,1.94836e-08
435,0.99992,1.94836e-08
436,0.99992,1.94836e-08
437,0.99992,1.94836e-08
438,0.99992,1.94836e-08
439,0.99992,1.94836e-08
440,0.99992,1.94836e-08
441,0.99992,1.94836e-08
442,0.99992,1.94836e-08
443,0.99992,1.94836e-08
444,0.99992,1.94836e-08
445,0.99992,1.94836e-08
446,0.99992,1.94836e-08
447,0.99992,1.94836e-08
448,0.99992,1.94836e-08
449,0.99992,1.94836e-08
450,0.99992,1.94836e-08
451,0.99992,1.94836e-08
452,0.99992,1.94836e-08
453,0.99992,1.94836e-08
454,0.99992,1.94836e-08
455,0.99992,1.94836e-08
456,0.99992,1.94836e-08
457,0.99992,1.94836e-08
458,0.99992,1.94836e-08
459,0.99992,1.94836e-08
460,0.99992,1.94836e-08
461,0.99992,1.94836e-08
462,0.99992,1.94836e-08
463,0.99992,1.94836e-08
464,0.99992,1.94836e-08
465,0.99992,1.94836e-08
466,0.99992,1.94836e-08
467,0.99992,1.94836e-08
468,0.99992,1.94836e-08
469,0.99992,1.94836e-08
470,0.99992,1.94836e-08
471,0.99992,1.94836e-08
472,0.99992,1.94836e-08
473,0.99992,1.94836e-08
474,0.99992,1.94836e-08
475,0.99992,1.94836e-08
476,0.99992,1.94836e-08
477,0.99992,1.94836e-08
478,0.99992,1.94836e-08
479,0.99992,1.94836e-08
480,0.99992,1.94836e-08
481,0.99992,1.94836e-08
482,0.99992,1.94836e-08
483,0.99992,1.94836e-08
484,0.99992,1.94836e-08
485,0.99992,1.94836e-08
486,0.99992,1.94836e-08
487,0.99992,1.94836e-08
488,0.99992,1.94836e-08
489,0.99992,1.94836e-08
490,0.99992,1.94836e-08
491,0.99992,1.94836e-08
492,0.99992,1.94836e-08
493,0.99992,1.94836e-08
494,0.99992,1.94836e-08
495,0.99992,1.94836e-08
496,0.99992,1.94836e-08
497,0.99992,1.94836e-08
498,0.99992,1.94836e-08
499,0.99992,1.94836e-08
500,0.99992,1.94836e-08
501,0.99992,1.94836e-08
502,0.99992,1.94836e-08
503,0.99992,1.94836e-08
504,0.99992,1.94836e-08
505,0.99992,1.94836e-08
506,0.99992,1.94836e-08
507,0.99992,1.94836e-08
508,0.99992,1.94836e-08
509,0.99992,1.94836e-08
510,0.99992,1.94836e-08
511,0.99992,1.94836e-08
512,0.99992,1.94836e-08
513,0.99992,1.94836e-08
514,0.99992,1.94836e-08
515,0.99992,1.94836e-08
516,0.99992,1.94836e-08
