Time,avg(PDE variable 0),std(PDE variable 0)
0,0.00990099,0.0990545
1,0.00519088,0.0031575
2,0.00568211,0.00126024
3,0.00624462,0.000540427
4,0.00686483,0.000233346
5,0.00754655,0.000100828
6,0.0082955,4.35669e-05
7,0.00911817,1.88225e-05
8,0.0100217,8.13082e-06
9,0.0110138,3.51172e-06
10,0.012103,1.51645e-06
11,0.0132987,6.54707e-07
12,0.0146109,2.82601e-07
13,0.0160506,1.21951e-07
14,0.0176299,5.2607e-08
15,0.0193618,2.26234e-08
16,0.0212605,9.689e-09
17,0.0233414,3.92734e-09
18,0.025621,5.48356e-10
19,0.0281175,1.89981e-10
20,0.0308502,4.72198e-10
21,0.03384,4.04471e-10
22,0.0371095,7.19159e-10
23,0.0406828,8.35486e-10
24,0.0445855,4.60801e-10
25,0.0488453,8.74569e-10
26,0.0534912,2.72729e-10
27,0.0585542,6.67956e-10
28,0.0640668,1.11124e-09
29,0.070063,1.45813e-09
30,0.0765784,9.79349e-10
31,0.0836499,1.84481e-09
32,0.0913151,7.5298e-10
33,0.0996128,1.38418e-09
34,0.108582,1.59121e-09
35,0.118261,8.23575e-10
36,0.128689,2.09727e-09
37,0.139901,2.13174e-09
38,0.151934,4.30887e-09
39,0.164819,1.95526e-09
40,0.178585,2.63368e-09
41,0.193254,3.81791e-09
42,0.208844,6.2542e-09
43,0.225367,9.13193e-10
44,0.242825,2.61568e-09
45,0.261211,3.59414e-09
46,0.280509,2.41641e-09
47,0.300691,4.40718e-09
48,0.321719,6.64868e-09
49,0.343541,3.50088e-09
50,0.366093,6.37933e-09
51,0.3893,6.19607e-09
52,0.413074,8.58648e-09
53,0.437319,2.76177e-09
54,0.461926,6.82428e-09
55,0.486781,1.05899e-08
56,0.511763,8.76708e-09
57,0.536749,1.10286e-08
58,0.561614,2.69149e-09
59,0.586235,5.25398e-09
60,0.610491,1.10231e-08
61,0.63427,1.26913e-08
62,0.657467,9.32549e-09
63,0.679988,1.19207e-08
64,0.701748,7.0789e-09
65,0.722678,1.50405e-08
66,0.742719,1.26203e-08
67,0.761828,1.43275e-08
68,0.779973,7.3714e-09
69,0.797134,1.61335e-08
70,0.813305,1.64646e-08
71,0.828489,2.02823e-08
72,0.842699,1.0839e-08
73,0.855955,1.26952e-08
74,0.868284,1.63922e-08
75,0.879721,3.05161e-09
76,0.890302,9.38696e-09
77,0.900069,1.56739e-08
78,0.909063,7.72763e-09
79,0.91733,1.43189e-08
80,0.924913,2.12603e-08
81,0.931858,4.46507e-09
82,0.938208,1.20748e-08
83,0.944005,1.42138e-08
84,0.949291,2.46216e-08
85,0.954105,1.89516e-08
86,0.958484,1.88135e-08
87,0.962463,1.32124e-08
88,0.966076,1.8017e-08
89,0.969353,1.17476e-08
90,0.972324,2.1627e-08
91,0.975015,1.495e-08
92,0.977451,1.69847e-08
93,0.979655,2.03437e-08
94,0.981648,2.11847e-08
95,0.98345,1.37829e-08
96,0.985077,1.56907e-08
97,0.986547,1.77636e-08
98,0.987875,2.03399e-08
99,0.989072,6.96578e-09
100,0.990153,1.51744e-08
101,0.991128,1.75001e-08
102,0.992007,8.03243e-09
103,0.9928,1.61397e-08
104,0.993515,1.83596e-08
105,0.994159,2.03395e-08
106,0.99474,2.20902e-08
107,0.995263,1.44645e-08
108,0.995735,1.60264e-08
109,0.996159,1.46151e-08
110,0.996542,2.26464e-08
111,0.996887,5.70149e-09
112,0.997197,6.22703e-09
113,0.997476,1.23409e-08
114,0.997728,1.63292e-08
115,0.997955,1.75341e-08
116,0.998159,3.31837e-08
117,0.998343,4.19244e-09
118,0.998508,1.50789e-08
119,0.998657,1.40445e-08
120,0.998791,2.851e-08
121,0.998912,1.10611e-08
122,0.999021,1.16987e-08
123,0.999118,2.71487e-08
124,0.999207,2.20937e-08
125,0.999286,2.24152e-08
126,0.999357,1.42824e-08
127,0.999421,1.82727e-08
128,0.999479,8.86806e-09
129,0.999531,1.60472e-08
130,0.999578,1.83618e-08
131,0.99962,1.4969e-08
132,0.999658,1.80696e-08
133,0.999692,5.80176e-09
134,0.999723,1.66506e-08
135,0.999751,1.61682e-08
136,0.999776,8.82288e-09
137,0.999798,2.04054e-08
138,0.999818,1.81227e-08
139,0.999837,1.40388e-08
140,0.999853,1.5313e-08
141,0.999868,1.32671e-08
142,0.999881,2.25219e-08
143,0.999893,4.79308e-09
144,0.999903,9.73076e-09
145,0.999913,1.09205e-08
146,0.999922,1.9124e-08
147,0.99993,2.06785e-08
148,0.999937,1.17347e-08
149,0.999943,1.55365e-08
150,0.999949,2.79162e-08
151,0.999954,4.87627e-09
152,0.999958,1.00773e-08
153,0.999963,1.29984e-08
154,0.999966,8.70005e-09
155,0.99997,1.78538e-08
156,0.999973,2.3328e-08
157,0.999975,6.36212e-09
158,0.999978,1.30673e-08
159,0.99998,8.95471e-09
160,0.999982,2.72502e-08
161,0.999984,1.27349e-08
162,0.999985,1.34075e-08
163,0.999987,2.22201e-08
164,0.999988,1.18808e-08
165,0.999989,1.49677e-08
166,0.99999,9.15752e-09
167,0.999991,1.91051e-08
168,0.999992,1.38056e-08
169,0.999993,2.19421e-08
170,0.999994,1.23731e-08
171,0.999994,1.57677e-08
172,0.999995,5.42979e-09
173,0.999995,1.10402e-08
174,0.999995,1.10049e-08
175,0.999995,1.10049e-08
176,0.999995,1.10049e-08
177,0.999995,1.10049e-08
178,0.999995,1.10049e-08
179,0.999995,1.10049e-08
180,0.999995,1.10049e-08
181,0.999995,1.10049e-08
182,0.999995,1.10049e-08
183,0.999995,1.10049e-08
184,0.999995,1.10049e-08
185,0.999995,1.10049e-08
186,0.999995,1.10049e-08
187,0.999995,1.10049e-08
188,0.999995,1.10049e-08
189,0.999995,1.10049e-08
190,0.999995,1.10049e-08
191,0.999995,1.10049e-08
192,0.999995,1.10049e-08
193,0.999995,1.10049e-08
194,0.999995,1.10049e-08
195,0.999995,1.10049e-08
196,0.999995,1.10049e-08
197,0.999995,1.10049e-08
198,0.999995,1.10049e-08
199,0.999995,1.10049e-08
200,0.999995,1.10049e-08
201,0.999995,1.10049e-08
202,0.999995,1.10049e-08
203,0.999995,1.10049e-08
204,0.999995,1.10049e-08
205,0.999995,1.10049e-08
206,0.999995,1.10049e-08
207,0.999995,1.10049e-08
208,0.999995,1.10049e-08
209,0.999995,1.10049e-08
210,0.999995,1.10049e-08
211,0.999995,1.10049e-08
212,0.999995,1.10049e-08
213,0.999995,1.10049e-08
214,0.999995,1.10049e-08
215,0.999995,1.10049e-08
216,0.999995,1.10049e-08
217,0.999995,1.10049e-08
218,0.999995,1.10049e-08
219,0.999995,1.10049e-08
220,0.999995,1.10049e-08
221,0.999995,1.10049e-08
222,0.999995,1.10049e-08
223,0.999995,1.10049e-08
224,0.999995,1.10049e-08
225,0.999995,1.10049e-08
226,0.999995,1.10049e-08
227,0.999995,1.10049e-08
228,0.999995,1.10049e-08
229,0.999995,1.10049e-08
230,0.999995,1.10049e-08
231,0.999995,1.10049e-08
232,0.999995,1.10049e-08
233,0.999995,1.10049e-08
234,0.999995,1.10049e-08
235,0.999995,1.10049e-08
236,0.999995,1.10049e-08
237,0.999995,1.10049e-08
238,0.999995,1.10049e-08
239,0.999995,1.10049e-08
240,0.999995,1.10049e-08
241,0.999995,1.10049e-08
242,0.999995,1.10049e-08
243,0.999995,1.10049e-08
