Time,avg(PDE variable 0),std(PDE variable 0)
0,0.00990099,0.0990545
1,0.007052,0.0441992
2,0.00708826,0.0384801
3,0.00742176,0.0368241
4,0.00788564,0.0366123
5,0.00843916,0.0371612
6,0.00906837,0.0382037
7,0.00976839,0.0396133
8,0.0105383,0.0413234
9,0.0113792,0.0432964
10,0.0122931,0.0455107
11,0.0132829,0.0479533
12,0.0143515,0.050617
13,0.0155025,0.0534977
14,0.0167393,0.0565934
15,0.0180655,0.059903
16,0.0194845,0.0634261
17,0.0209997,0.0671621
18,0.0226143,0.0711102
19,0.0243313,0.0752692
20,0.0261534,0.0796368
21,0.0280829,0.0842099
22,0.0301218,0.0889844
23,0.0322717,0.0939548
24,0.0345336,0.0991145
25,0.036908,0.104456
26,0.0393951,0.109969
27,0.0419943,0.115645
28,0.0447047,0.121471
29,0.0475246,0.127436
30,0.050452,0.133525
31,0.0534843,0.139724
32,0.0566186,0.146019
33,0.0598513,0.152395
34,0.0631786,0.158835
35,0.0665966,0.165325
36,0.0701006,0.171849
37,0.0736863,0.178391
38,0.0773488,0.184937
39,0.0810833,0.191474
40,0.084885,0.197987
41,0.0887492,0.204464
42,0.0926711,0.210893
43,0.096646,0.217263
44,0.10067,0.223565
45,0.104738,0.229791
46,0.108846,0.235932
47,0.112991,0.241981
48,0.117168,0.247934
49,0.121375,0.253785
50,0.125609,0.25953
51,0.129866,0.265166
52,0.134145,0.270691
53,0.138442,0.276104
54,0.142756,0.281403
55,0.147084,0.286587
56,0.151426,0.291657
57,0.155779,0.296614
58,0.160142,0.301457
59,0.164515,0.306188
60,0.168895,0.31081
61,0.173283,0.315322
62,0.177677,0.319727
63,0.182077,0.324027
64,0.186482,0.328223
65,0.190892,0.332319
66,0.195306,0.336315
67,0.199725,0.340215
68,0.204148,0.34402
69,0.208574,0.347732
70,0.213004,0.351354
71,0.217437,0.354888
72,0.221874,0.358335
73,0.226313,0.361698
74,0.230757,0.364979
75,0.235203,0.368179
76,0.239652,0.3713
77,0.244105,0.374345
78,0.248561,0.377314
79,0.25302,0.380209
80,0.257482,0.383033
81,0.261948,0.385785
82,0.266417,0.388468
83,0.270889,0.391083
84,0.275365,0.393632
85,0.279844,0.396115
86,0.284326,0.398533
87,0.288812,0.400889
88,0.293301,0.403182
89,0.297794,0.405414
90,0.30229,0.407585
91,0.306789,0.409697
92,0.311292,0.411751
93,0.315799,0.413747
94,0.320309,0.415686
95,0.324822,0.417568
96,0.329339,0.419395
97,0.333859,0.421167
98,0.338383,0.422885
99,0.34291,0.424549
100,0.347441,0.426159
101,0.351975,0.427717
102,0.356513,0.429223
103,0.361053,0.430677
104,0.365598,0.432079
105,0.370145,0.433431
106,0.374696,0.434732
107,0.37925,0.435983
108,0.383807,0.437183
109,0.388368,0.438335
110,0.392932,0.439437
111,0.397499,0.44049
112,0.402069,0.441494
113,0.406642,0.44245
114,0.411218,0.443357
115,0.415797,0.444217
116,0.420379,0.445028
117,0.424964,0.445792
118,0.429553,0.446508
119,0.434143,0.447177
120,0.438737,0.447798
121,0.443334,0.448372
122,0.447933,0.448899
123,0.452536,0.449379
124,0.45714,0.449812
125,0.461748,0.450198
126,0.466358,0.450537
127,0.470971,0.450829
128,0.475587,0.451075
129,0.480204,0.451273
130,0.484825,0.451424
131,0.489448,0.451529
132,0.494073,0.451586
133,0.498701,0.451597
134,0.503331,0.45156
135,0.507964,0.451476
136,0.512599,0.451345
137,0.517236,0.451166
138,0.521876,0.45094
139,0.526517,0.450666
140,0.531161,0.450344
141,0.535807,0.449974
142,0.540456,0.449556
143,0.545106,0.449089
144,0.549758,0.448574
145,0.554413,0.44801
146,0.55907,0.447397
147,0.563728,0.446734
148,0.568389,0.446021
149,0.573051,0.445259
150,0.577716,0.444446
151,0.582382,0.443583
152,0.58705,0.442669
153,0.59172,0.441703
154,0.596392,0.440685
155,0.601066,0.439615
156,0.605741,0.438493
157,0.610419,0.437318
158,0.615098,0.436089
159,0.619778,0.434805
160,0.624461,0.433468
161,0.629145,0.432075
162,0.633831,0.430626
163,0.638518,0.429121
164,0.643207,0.427559
165,0.647897,0.425939
166,0.65259,0.424261
167,0.657283,0.422523
168,0.661979,0.420726
169,0.666675,0.418867
170,0.671374,0.416948
171,0.676074,0.414965
172,0.680775,0.412919
173,0.685478,0.410809
174,0.690182,0.408633
175,0.694887,0.40639
176,0.699594,0.40408
177,0.704303,0.4017
178,0.709013,0.399251
179,0.713724,0.396729
180,0.718436,0.394135
181,0.723146,0.391468
182,0.727856,0.388726
183,0.732569,0.385907
184,0.737282,0.383009
185,0.741996,0.380031
186,0.746712,0.376969
187,0.751429,0.373823
188,0.756147,0.370589
189,0.760866,0.367266
190,0.765586,0.363851
191,0.770307,0.360341
192,0.775029,0.356733
193,0.779753,0.353025
194,0.784478,0.349211
195,0.789204,0.34529
196,0.793932,0.341256
197,0.798661,0.337106
198,0.803392,0.332835
199,0.808125,0.328438
200,0.812864,0.323905
201,0.817605,0.319235
202,0.822348,0.314421
203,0.827093,0.309457
204,0.831841,0.304337
205,0.836591,0.299053
206,0.841343,0.2936
207,0.846097,0.287969
208,0.850852,0.282155
209,0.855608,0.27615
210,0.860364,0.269949
211,0.865119,0.263546
212,0.869871,0.256938
213,0.874618,0.250123
214,0.879354,0.243101
215,0.884078,0.235875
216,0.888788,0.228446
217,0.893476,0.220823
218,0.898139,0.213018
219,0.902768,0.205046
220,0.907357,0.196925
221,0.911897,0.18868
222,0.916378,0.180337
223,0.920791,0.171928
224,0.925125,0.163487
225,0.929369,0.15505
226,0.933514,0.146657
227,0.937548,0.138346
228,0.941462,0.130156
229,0.945245,0.122125
230,0.94889,0.11429
231,0.95239,0.106684
232,0.955738,0.099335
233,0.958929,0.0922694
234,0.961961,0.0855078
235,0.964831,0.0790662
236,0.96754,0.0729561
237,0.970089,0.0671842
238,0.972479,0.0617532
239,0.974714,0.0566618
240,0.976799,0.0519054
241,0.978738,0.0474762
242,0.980538,0.0433641
243,0.982205,0.0395571
244,0.983745,0.0360415
245,0.985165,0.0328028
246,0.986472,0.0298257
247,0.987674,0.0270943
248,0.988777,0.0245929
249,0.989788,0.022306
250,0.990713,0.0202183
251,0.991559,0.0183149
252,0.992331,0.0165817
253,0.993036,0.0150053
254,0.993679,0.0135729
255,0.994264,0.0122724
256,0.994797,0.0110927
257,0.995282,0.0100233
258,0.995722,0.00905452
259,0.996123,0.00817741
260,0.996486,0.00738433
261,0.996817,0.00666639
262,0.997116,0.00601725
263,0.997388,0.00543053
264,0.997635,0.0049004
265,0.997858,0.00442154
266,0.998061,0.00398909
267,0.998245,0.00359865
268,0.998411,0.00324619
269,0.998562,0.00292818
270,0.998698,0.00264155
271,0.998822,0.00238318
272,0.998934,0.00214952
273,0.999035,0.00193934
274,0.999127,0.00174945
275,0.99921,0.00157788
276,0.999285,0.00142298
277,0.999353,0.00128328
278,0.999415,0.00115728
279,0.999471,0.00104365
280,0.999521,0.000941179
281,0.999567,0.000848774
282,0.999608,0.000765445
283,0.999646,0.000690302
284,0.99968,0.000622543
285,0.99971,0.000561441
286,0.999738,0.000506342
287,0.999763,0.000456657
288,0.999786,0.000411854
289,0.999806,0.000371451
290,0.999825,0.000335018
291,0.999841,0.000302163
292,0.999857,0.000272535
293,0.99987,0.000245817
294,0.999883,0.000221722
295,0.999893,0.000200825
296,0.999903,0.000181895
297,0.999912,0.000164751
298,0.99992,0.000149226
299,0.999924,0.000141146
300,0.999924,0.000141146
301,0.999924,0.000141146
302,0.999924,0.000141146
303,0.999924,0.000141146
304,0.999924,0.000141146
305,0.999924,0.000141146
306,0.999924,0.000141146
307,0.999924,0.000141146
308,0.999924,0.000141146
309,0.999924,0.000141146
310,0.999924,0.000141146
311,0.999924,0.000141146
312,0.999924,0.000141146
