Time,avg(PDE variable 0),std(PDE variable 0)
0,0.00990099,0.0990545
1,0.005719,0.014485
2,0.0062034,0.0128446
3,0.00678867,0.012393
4,0.00745067,0.0123775
5,0.00818825,0.012598
6,0.00900559,0.0129765
7,0.00990876,0.0134761
8,0.0109052,0.0140777
9,0.0120032,0.0147714
10,0.0132125,0.015552
11,0.0145433,0.0164173
12,0.0160071,0.0173669
13,0.0176165,0.0184017
14,0.0193849,0.0195233
15,0.0213273,0.0207339
16,0.0234594,0.022036
17,0.0257986,0.0234324
18,0.0283636,0.0249259
19,0.0311744,0.0265192
20,0.0342524,0.028215
21,0.0376206,0.0300156
22,0.0413036,0.0319231
23,0.0453274,0.0339388
24,0.0497196,0.0360637
25,0.0545094,0.0382976
26,0.0597273,0.0406396
27,0.0654052,0.0430876
28,0.0715763,0.0456381
29,0.0782748,0.0482859
30,0.0855357,0.0510241
31,0.0933948,0.053844
32,0.101888,0.0567344
33,0.11105,0.0596818
34,0.120917,0.0626701
35,0.131522,0.0656807
36,0.142898,0.0686918
37,0.155073,0.071679
38,0.168073,0.0746153
39,0.181922,0.0774709
40,0.196636,0.0802135
41,0.212226,0.0828093
42,0.228697,0.0852226
43,0.246046,0.0874173
44,0.264263,0.0893572
45,0.283326,0.0910069
46,0.303207,0.0923331
47,0.323864,0.0933055
48,0.345247,0.0938977
49,0.367295,0.0940887
50,0.389937,0.0938632
51,0.413092,0.0932131
52,0.436669,0.0921378
53,0.460571,0.0906444
54,0.484693,0.0887478
55,0.508927,0.086471
56,0.533161,0.0838436
57,0.557281,0.0809016
58,0.581177,0.0776862
59,0.604739,0.0742424
60,0.627866,0.0706174
61,0.650461,0.0668597
62,0.672436,0.0630171
63,0.693715,0.0591358
64,0.71423,0.0552592
65,0.733927,0.0514268
66,0.752762,0.0476737
67,0.770704,0.0440302
68,0.78773,0.0405214
69,0.803832,0.0371674
70,0.819008,0.0339833
71,0.833266,0.0309796
72,0.846623,0.0281627
73,0.859099,0.0255352
74,0.870724,0.0230966
75,0.881528,0.0208438
76,0.891547,0.0187712
77,0.900818,0.0168719
78,0.909381,0.0151376
79,0.917275,0.0135591
80,0.924542,0.0121268
81,0.931219,0.0108306
82,0.937347,0.00966048
83,0.942964,0.00860666
84,0.948107,0.00765954
85,0.952809,0.00680992
86,0.957105,0.00604909
87,0.961027,0.00536885
88,0.964604,0.00476153
89,0.967864,0.00422003
90,0.970833,0.00373778
91,0.973535,0.00330876
92,0.975993,0.00292747
93,0.978228,0.00258891
94,0.98026,0.00228853
95,0.982105,0.00202221
96,0.983781,0.00178626
97,0.985302,0.00157734
98,0.986683,0.00139245
99,0.987935,0.0012289
100,0.989071,0.00108431
101,0.990101,0.000956523
102,0.991035,0.000843631
103,0.991882,0.00074393
104,0.992649,0.000655906
105,0.993344,0.000578213
106,0.993974,0.000509655
107,0.994544,0.000449172
108,0.995061,0.000395824
109,0.995529,0.000348778
110,0.995953,0.000307296
111,0.996337,0.000270726
112,0.996685,0.000238491
113,0.996999,0.00021008
114,0.997284,0.000185042
115,0.997542,0.00016298
116,0.997776,0.000143541
117,0.997985,0.000126539
118,0.998166,0.000112311
119,0.998324,0.000100107
120,0.998469,8.92261e-05
121,0.998601,7.95262e-05
122,0.998722,7.08791e-05
123,0.998833,6.3171e-05
124,0.998934,5.63e-05
125,0.999017,5.07568e-05
126,0.999017,5.07568e-05
127,0.999017,5.07568e-05
128,0.999017,5.07568e-05
129,0.999017,5.07568e-05
130,0.999017,5.07568e-05
131,0.999017,5.07568e-05
132,0.999017,5.07568e-05
133,0.999017,5.07568e-05
134,0.999017,5.07568e-05
135,0.999017,5.07568e-05
136,0.999017,5.07568e-05
137,0.999017,5.07568e-05
138,0.999017,5.07568e-05
139,0.999017,5.07568e-05
140,0.999017,5.07568e-05
141,0.999017,5.07568e-05
142,0.999017,5.07568e-05
143,0.999017,5.07568e-05
144,0.999017,5.07568e-05
145,0.999017,5.07568e-05
146,0.999017,5.07568e-05
147,0.999017,5.07568e-05
148,0.999017,5.07568e-05
149,0.999017,5.07568e-05
150,0.999017,5.07568e-05
151,0.999017,5.07568e-05
152,0.999017,5.07568e-05
153,0.999017,5.07568e-05
154,0.999017,5.07568e-05
155,0.999017,5.07568e-05
156,0.999017,5.07568e-05
157,0.999017,5.07568e-05
158,0.999017,5.07568e-05
159,0.999017,5.07568e-05
160,0.999017,5.07568e-05
161,0.999017,5.07568e-05
162,0.999017,5.07568e-05
163,0.999017,5.07568e-05
164,0.999017,5.07568e-05
165,0.999017,5.07568e-05
166,0.999017,5.07568e-05
167,0.999017,5.07568e-05
168,0.999017,5.07568e-05
169,0.999017,5.07568e-05
170,0.999017,5.07568e-05
171,0.999017,5.07568e-05
172,0.999017,5.07568e-05
173,0.999017,5.07568e-05
174,0.999017,5.07568e-05
175,0.999017,5.07568e-05
176,0.999017,5.07568e-05
177,0.999017,5.07568e-05
178,0.999017,5.07568e-05
179,0.999017,5.07568e-05
180,0.999017,5.07568e-05
181,0.999017,5.07568e-05
182,0.999017,5.07568e-05
183,0.999017,5.07568e-05
184,0.999017,5.07568e-05
185,0.999017,5.07568e-05
186,0.999017,5.07568e-05
187,0.999017,5.07568e-05
188,0.999017,5.07568e-05
189,0.999017,5.07568e-05
190,0.999017,5.07568e-05
191,0.999017,5.07568e-05
192,0.999017,5.07568e-05
193,0.999017,5.07568e-05
194,0.999017,5.07568e-05
195,0.999017,5.07568e-05
196,0.999017,5.07568e-05
197,0.999017,5.07568e-05
198,0.999017,5.07568e-05
199,0.999017,5.07568e-05
200,0.999017,5.07568e-05
201,0.999017,5.07568e-05
202,0.999017,5.07568e-05
203,0.999017,5.07568e-05
204,0.999017,5.07568e-05
205,0.999017,5.07568e-05
206,0.999017,5.07568e-05
207,0.999017,5.07568e-05
208,0.999017,5.07568e-05
209,0.999017,5.07568e-05
210,0.999017,5.07568e-05
211,0.999017,5.07568e-05
