Time,avg(PDE variable 0),std(PDE variable 0)
0,0.00990099,0.0990545
1,0.00561565,0.0113221
2,0.0061223,0.00982655
3,0.00671822,0.00930909
4,0.00738741,0.00913529
5,0.00813101,0.00913571
6,0.00895414,0.00924186
7,0.00986366,0.00941943
8,0.0108677,0.00964866
9,0.0119752,0.00991706
10,0.0131963,0.0102162
11,0.014542,0.0105402
12,0.0160243,0.0108848
13,0.0176567,0.0112469
14,0.0194533,0.0116241
15,0.0214301,0.0120145
16,0.0236042,0.0124166
17,0.025994,0.012829
18,0.0286199,0.0132505
19,0.0315034,0.0136798
20,0.0346682,0.0141156
21,0.0381395,0.0145564
22,0.0419443,0.0150008
23,0.0461117,0.0154469
24,0.0506724,0.015893
25,0.0556591,0.0163367
26,0.0611064,0.0167757
27,0.0670503,0.0172072
28,0.0735288,0.0176282
29,0.0805809,0.0180355
30,0.0882468,0.0184254
31,0.0965675,0.018794
32,0.105584,0.0191372
33,0.115338,0.0194507
34,0.125868,0.0197297
35,0.137214,0.01997
36,0.149411,0.0201659
37,0.162492,0.0203126
38,0.176484,0.0204053
39,0.19141,0.0204394
40,0.207285,0.0204109
41,0.224117,0.020316
42,0.241904,0.0201519
43,0.260634,0.0199164
44,0.280285,0.0196083
45,0.30082,0.0192277
46,0.322194,0.0187756
47,0.344345,0.0182546
48,0.367201,0.0176682
49,0.390677,0.0170216
50,0.414679,0.0163208
51,0.439099,0.0155729
52,0.463826,0.0147864
53,0.488739,0.0139698
54,0.513716,0.0131323
55,0.538631,0.0122833
56,0.563361,0.0114319
57,0.587787,0.0105871
58,0.611794,0.00975701
59,0.635276,0.00894904
60,0.658137,0.00816974
61,0.68029,0.00742451
62,0.701664,0.00671772
63,0.722196,0.00605256
64,0.741838,0.00543115
65,0.760555,0.00485473
66,0.778324,0.00432351
67,0.795132,0.00383702
68,0.810977,0.00339403
69,0.825867,0.00299286
70,0.839817,0.00263143
71,0.852851,0.00230733
72,0.864995,0.002018
73,0.876284,0.00176077
74,0.886754,0.00153295
75,0.896443,0.00133187
76,0.905392,0.001155
