Time,avg(PDE variable 0),std(PDE variable 0)
0,0.00990099,0.0990545
1,0.00703921,0.0439834
2,0.00709049,0.0384288
3,0.00742933,0.0368195
4,0.00789665,0.0366312
5,0.00845315,0.0371961
6,0.00908524,0.0382516
7,0.00978822,0.0396727
8,0.0105612,0.0413938
9,0.0114055,0.0433776
10,0.0123232,0.0456027
11,0.0133169,0.0480563
12,0.0143897,0.0507313
13,0.0155452,0.0536237
14,0.0167868,0.0567314
15,0.0181181,0.0600534
16,0.0195424,0.0635891
17,0.0210633,0.0673381
18,0.0226838,0.0712994
19,0.024407,0.0754717
20,0.0262356,0.0798527
21,0.0281718,0.0844392
22,0.0302176,0.0892269
23,0.0323745,0.0942103
24,0.0346435,0.0993828
25,0.0370252,0.104736
26,0.0395196,0.110262
27,0.0421262,0.115948
28,0.0448439,0.121785
29,0.047671,0.127759
30,0.0506056,0.133856
31,0.053645,0.140063
32,0.0567861,0.146365
33,0.0600255,0.152746
34,0.0633594,0.15919
35,0.0667835,0.165684
36,0.0702936,0.172209
37,0.073885,0.178753
38,0.0775529,0.1853
39,0.0812927,0.191836
40,0.0850994,0.198347
41,0.0889683,0.204822
42,0.0928946,0.211248
43,0.0968738,0.217615
44,0.100901,0.223913
45,0.104973,0.230133
46,0.109085,0.236269
47,0.113233,0.242313
48,0.117414,0.24826
49,0.121625,0.254105
50,0.125862,0.259844
51,0.130122,0.265475
52,0.134403,0.270994
53,0.138704,0.2764
54,0.14302,0.281693
55,0.147352,0.286871
56,0.151696,0.291936
57,0.156052,0.296886
58,0.160418,0.301724
59,0.164793,0.30645
60,0.169177,0.311065
61,0.173567,0.315572
62,0.177964,0.319972
63,0.182367,0.324267
64,0.186776,0.328459
65,0.191189,0.33255
66,0.195607,0.336541
67,0.200028,0.340437
68,0.204454,0.344237
69,0.208884,0.347946
70,0.213317,0.351564
71,0.217754,0.355093
72,0.222194,0.358537
73,0.226637,0.361896
74,0.231084,0.365173
75,0.235534,0.368369
76,0.239987,0.371487
77,0.244443,0.374528
78,0.248903,0.377494
79,0.253366,0.380385
80,0.257832,0.383205
81,0.262301,0.385954
82,0.266774,0.388634
83,0.27125,0.391246
84,0.27573,0.393791
85,0.280213,0.396271
86,0.284699,0.398686
87,0.289189,0.401038
88,0.293682,0.403328
89,0.298179,0.405556
90,0.302679,0.407725
91,0.307183,0.409833
92,0.31169,0.411884
93,0.316201,0.413876
94,0.320715,0.415811
95,0.325233,0.417691
96,0.329754,0.419514
97,0.334279,0.421283
98,0.338807,0.422997
