Time,avg(PDE variable 0),std(PDE variable 0)
0,0.00990099,0.0990545
1,0.00537602,0.0022518
2,0.00592312,0.000719252
3,0.00653051,0.000231663
4,0.00719997,7.46173e-05
5,0.00793754,2.40306e-05
6,0.00875002,7.73795e-06
7,0.00964489,2.49124e-06
8,0.0106303,8.01892e-07
9,0.0117153,2.57931e-07
10,0.0129096,8.26499e-08
11,0.014224,2.45569e-08
12,0.0156701,5.99363e-09
13,0.0172608,1.08184e-09
14,0.01901,4.03213e-10
15,0.0209327,4.86863e-10
16,0.0230455,5.42005e-10
17,0.0253663,5.77452e-10
18,0.0279142,6.89609e-10
19,0.0307103,1.41468e-09
20,0.0337771,7.70344e-10
21,0.0371388,1.15121e-09
22,0.0408214,1.32258e-09
23,0.0448528,1.38962e-09
24,0.0492624,1.27934e-09
25,0.0540819,9.50463e-10
26,0.0593444,1.47909e-09
27,0.0650848,2.03183e-09
28,0.0713398,1.32701e-09
29,0.0781473,2.13817e-09
30,0.0855465,2.64314e-09
31,0.0935773,2.26276e-09
32,0.10228,3.46226e-09
33,0.111696,4.00201e-09
34,0.121865,4.54348e-09
35,0.132825,3.15282e-09
36,0.144613,3.27081e-09
37,0.157263,4.09663e-09
38,0.170806,6.97605e-09
39,0.185265,6.39513e-09
40,0.200661,5.92289e-09
41,0.217005,9.32563e-09
42,0.2343,5.36745e-09
43,0.252541,6.97695e-09
44,0.271711,7.29398e-09
45,0.291782,6.69422e-09
46,0.312715,8.42607e-09
47,0.334457,7.11688e-09
48,0.356943,1.05879e-08
49,0.380097,8.45231e-09
50,0.40383,1.12209e-08
51,0.428042,1.28256e-08
52,0.452626,1.39515e-08
53,0.477465,1.25225e-08
54,0.502438,1.26867e-08
55,0.527422,9.6173e-09
56,0.552291,1.07033e-08
57,0.576923,1.74499e-08
58,0.6012,2.33657e-08
59,0.62501,2.01283e-08
60,0.64825,1.51346e-08
61,0.670826,2.32656e-08
62,0.692658,2.72236e-08
63,0.713677,2.22808e-08
64,0.733825,2.76863e-08
65,0.753059,1.7063e-08
66,0.771349,2.0673e-08
67,0.788675,2.99093e-08
68,0.805031,2.41545e-08
69,0.820417,1.98437e-08
70,0.834846,2.54602e-08
71,0.848337,2.72307e-08
72,0.860915,2.47708e-08
73,0.872612,2.8935e-08
74,0.883463,3.52647e-08
75,0.893505,2.11235e-08
76,0.902781,2.22667e-08
77,0.911332,2.31416e-08
78,0.919201,1.91154e-08
79,0.926429,3.21613e-08
80,0.93306,2.55726e-08
81,0.939133,3.6338e-08
82,0.94469,2.6178e-08
83,0.949767,2.55667e-08
84,0.954401,2.19776e-08
85,0.958627,3.47444e-08
86,0.962478,3.67319e-08
87,0.965983,2.7028e-08
88,0.969172,3.458e-08
89,0.972071,2.73493e-08
90,0.974704,2.43096e-08
91,0.977095,2.5534e-08
92,0.979266,2.34891e-08
93,0.981234,2.48933e-08
94,0.983019,1.76842e-08
95,0.984638,3.781e-08
96,0.986104,3.86411e-08
97,0.987432,2.5868e-08
98,0.988634,4.17982e-08
99,0.989723,3.10979e-08
100,0.990709,3.90232e-08
101,0.991601,3.09949e-08
102,0.992408,3.63842e-08
103,0.993137,3.11893e-08
104,0.993798,3.16044e-08
105,0.994395,3.15583e-08
106,0.994935,3.63142e-08
107,0.995423,3.5196e-08
108,0.995864,2.04013e-08
109,0.996263,3.8268e-08
110,0.996624,3.92104e-08
111,0.99695,4.09353e-08
112,0.997244,3.20116e-08
113,0.99751,3.14389e-08
114,0.997751,3.31908e-08
115,0.997968,3.63792e-08
116,0.998165,4.36138e-08
117,0.998342,3.32347e-08
118,0.998502,4.71719e-08
119,0.998647,2.57059e-08
120,0.998778,2.92791e-08
121,0.998896,3.12078e-08
122,0.999003,3.57447e-08
123,0.999099,2.56841e-08
124,0.999186,2.88613e-08
125,0.999265,1.94233e-08
126,0.999336,2.47509e-08
127,0.999401,2.37742e-08
128,0.999459,2.95968e-08
129,0.999511,3.31281e-08
130,0.999558,2.74145e-08
131,0.999601,4.28334e-08
132,0.99964,2.73911e-08
133,0.999675,3.4286e-08
134,0.999706,2.75323e-08
135,0.999734,3.86606e-08
