Time,avg(PDE variable 0),std(PDE variable 0)
0,0.00990099,0.0990545
1,0.00552061,1.65993e-05
2,0.00609764,3.79049e-08
3,0.00673458,4.31832e-10
4,0.00743755,3.96783e-10
5,0.0082133,4.5552e-10
6,0.00906921,8.47221e-10
7,0.0100134,2.86406e-10
8,0.0110548,6.76606e-10
9,0.0122032,1.21164e-09
10,0.0134693,5.34219e-10
11,0.0148648,1.31376e-09
12,0.0164024,1.73802e-09
13,0.0180961,1.60183e-09
14,0.0199612,1.17416e-09
15,0.0220142,1.12703e-09
16,0.0242731,2.15276e-09
17,0.0267575,1.49062e-09
18,0.0294885,4.53677e-10
19,0.0324889,1.4237e-09
20,0.0357833,2.75712e-09
21,0.0393982,3.05445e-09
22,0.0433619,2.7714e-09
23,0.0477045,2.68799e-09
24,0.0524582,2.63135e-09
25,0.0576569,3.45164e-09
26,0.0633363,4.40488e-09
27,0.069534,3.41966e-09
28,0.0762887,5.0878e-09
29,0.0836406,6.73062e-09
30,0.0916307,1.82856e-09
31,0.100301,3.24805e-09
32,0.109692,2.79739e-09
33,0.119845,3.5613e-09
34,0.1308,2.81086e-09
35,0.142594,9.38367e-09
36,0.155262,1.9009e-08
37,0.168834,1.57477e-08
38,0.183334,1.36447e-08
39,0.198782,1.37988e-08
40,0.215189,1.12335e-08
41,0.232557,6.35159e-09
42,0.250878,1.08574e-08
43,0.270135,9.46805e-09
44,0.290297,1.80524e-08
45,0.311322,2.475e-08
46,0.333156,3.15543e-08
47,0.355729,8.30816e-09
48,0.378963,2.10664e-08
49,0.402765,2.08304e-08
50,0.427035,1.27267e-08
51,0.451661,3.82983e-08
52,0.476527,1.23411e-08
53,0.501509,2.22725e-08
54,0.526483,3.60839e-08
55,0.551326,3.99205e-08
56,0.575916,3.54057e-08
57,0.600135,6.37996e-08
58,0.623874,5.49008e-08
59,0.647033,5.05738e-08
60,0.669521,3.12924e-08
61,0.69126,5.951e-08
62,0.712183,4.03812e-08
63,0.732238,1.81053e-08
64,0.751383,6.68277e-08
65,0.769589,3.38412e-08
66,0.78684,4.50932e-08
67,0.80313,4.33427e-08
68,0.818462,1.53475e-08
69,0.832848,5.47426e-08
70,0.846308,3.83678e-08
71,0.858867,5.65733e-08
72,0.870556,7.35323e-08
73,0.88141,4.60843e-08
74,0.891467,7.44185e-08
75,0.900766,4.43627e-08
76,0.909349,3.326e-08
77,0.917256,1.99495e-08
78,0.92453,6.86794e-08
79,0.931212,1.03279e-07
80,0.937341,6.09283e-08
81,0.942955,5.47078e-08
82,0.948093,4.49675e-08
83,0.95279,7.67972e-08
84,0.957079,1.47786e-08
85,0.960992,4.43609e-08
86,0.964559,6.83709e-08
87,0.967807,7.70548e-08
88,0.970764,6.4466e-08
89,0.973455,6.35026e-08
90,0.975899,7.1672e-08
91,0.978121,2.67452e-08
92,0.980136,4.67663e-08
93,0.981964,9.91417e-08
94,0.983621,6.57141e-08
95,0.985121,7.30576e-08
96,0.986477,3.46189e-08
97,0.987703,6.10223e-08
98,0.988807,6.8898e-08
99,0.989799,6.89822e-08
100,0.990271,1.94126e-08
101,0.990271,1.94126e-08
102,0.990271,1.94126e-08
103,0.990271,1.94126e-08
104,0.990271,1.94126e-08
105,0.990271,1.94126e-08
106,0.990271,1.94126e-08
107,0.990271,1.94126e-08
108,0.990271,1.94126e-08
109,0.990271,1.94126e-08
110,0.990271,1.94126e-08
111,0.990271,1.94126e-08
112,0.990271,1.94126e-08
113,0.990271,1.94126e-08
114,0.990271,1.94126e-08
115,0.990271,1.94126e-08
116,0.990271,1.94126e-08
117,0.990271,1.94126e-08
118,0.990271,1.94126e-08
119,0.990271,1.94126e-08
120,0.990271,1.94126e-08
121,0.990271,1.94126e-08
122,0.990271,1.94126e-08
123,0.990271,1.94126e-08
124,0.990271,1.94126e-08
125,0.990271,1.94126e-08
126,0.990271,1.94126e-08
127,0.990271,1.94126e-08
128,0.990271,1.94126e-08
129,0.990271,1.94126e-08
130,0.990271,1.94126e-08
131,0.990271,1.94126e-08
132,0.990271,1.94126e-08
133,0.990271,1.94126e-08
134,0.990271,1.94126e-08
135,0.990271,1.94126e-08
136,0.990271,1.94126e-08
137,0.990271,1.94126e-08
138,0.990271,1.94126e-08
139,0.990271,1.94126e-08
140,0.990271,1.94126e-08
141,0.990271,1.94126e-08
142,0.990271,1.94126e-08
143,0.990271,1.94126e-08
144,0.990271,1.94126e-08
145,0.990271,1.94126e-08
146,0.990271,1.94126e-08
147,0.990271,1.94126e-08
148,0.990271,1.94126e-08
149,0.990271,1.94126e-08
150,0.990271,1.94126e-08
151,0.990271,1.94126e-08
152,0.990271,1.94126e-08
153,0.990271,1.94126e-08
154,0.990271,1.94126e-08
155,0.990271,1.94126e-08
156,0.990271,1.94126e-08
157,0.990271,1.94126e-08
158,0.990271,1.94126e-08
159,0.990271,1.94126e-08
160,0.990271,1.94126e-08
161,0.990271,1.94126e-08
162,0.990271,1.94126e-08
163,0.990271,1.94126e-08
164,0.990271,1.94126e-08
165,0.990271,1.94126e-08
166,0.990271,1.94126e-08
167,0.990271,1.94126e-08
168,0.990271,1.94126e-08
169,0.990271,1.94126e-08
170,0.990271,1.94126e-08
171,0.990271,1.94126e-08
172,0.990271,1.94126e-08
173,0.990271,1.94126e-08
174,0.990271,1.94126e-08
175,0.990271,1.94126e-08
176,0.990271,1.94126e-08
177,0.990271,1.94126e-08
178,0.990271,1.94126e-08
179,0.990271,1.94126e-08
180,0.990271,1.94126e-08
181,0.990271,1.94126e-08
182,0.990271,1.94126e-08
183,0.990271,1.94126e-08
184,0.990271,1.94126e-08
185,0.990271,1.94126e-08
186,0.990271,1.94126e-08
187,0.990271,1.94126e-08
188,0.990271,1.94126e-08
189,0.990271,1.94126e-08
190,0.990271,1.94126e-08
191,0.990271,1.94126e-08
192,0.990271,1.94126e-08
193,0.990271,1.94126e-08
194,0.990271,1.94126e-08
195,0.990271,1.94126e-08
196,0.990271,1.94126e-08
197,0.990271,1.94126e-08
198,0.990271,1.94126e-08
199,0.990271,1.94126e-08
200,0.990271,1.94126e-08
201,0.990271,1.94126e-08
202,0.990271,1.94126e-08
203,0.990271,1.94126e-08
204,0.990271,1.94126e-08
205,0.990271,1.94126e-08
206,0.990271,1.94126e-08
207,0.990271,1.94126e-08
208,0.990271,1.94126e-08
209,0.990271,1.94126e-08
210,0.990271,1.94126e-08
211,0.990271,1.94126e-08
212,0.990271,1.94126e-08
213,0.990271,1.94126e-08
214,0.990271,1.94126e-08
215,0.990271,1.94126e-08
216,0.990271,1.94126e-08
217,0.990271,1.94126e-08
218,0.990271,1.94126e-08
219,0.990271,1.94126e-08
220,0.990271,1.94126e-08
221,0.990271,1.94126e-08
222,0.990271,1.94126e-08
223,0.990271,1.94126e-08
224,0.990271,1.94126e-08
225,0.990271,1.94126e-08
226,0.990271,1.94126e-08
227,0.990271,1.94126e-08
228,0.990271,1.94126e-08
229,0.990271,1.94126e-08
230,0.990271,1.94126e-08
231,0.990271,1.94126e-08
232,0.990271,1.94126e-08
233,0.990271,1.94126e-08
234,0.990271,1.94126e-08
235,0.990271,1.94126e-08
236,0.990271,1.94126e-08
237,0.990271,1.94126e-08
238,0.990271,1.94126e-08
239,0.990271,1.94126e-08
240,0.990271,1.94126e-08
241,0.990271,1.94126e-08
242,0.990271,1.94126e-08
243,0.990271,1.94126e-08
244,0.990271,1.94126e-08
245,0.990271,1.94126e-08
246,0.990271,1.94126e-08
247,0.990271,1.94126e-08
248,0.990271,1.94126e-08
249,0.990271,1.94126e-08
250,0.990271,1.94126e-08
251,0.990271,1.94126e-08
252,0.990271,1.94126e-08
253,0.990271,1.94126e-08
254,0.990271,1.94126e-08
255,0.990271,1.94126e-08
256,0.990271,1.94126e-08
257,0.990271,1.94126e-08
258,0.990271,1.94126e-08
259,0.990271,1.94126e-08
260,0.990271,1.94126e-08
261,0.990271,1.94126e-08
262,0.990271,1.94126e-08
263,0.990271,1.94126e-08
264,0.990271,1.94126e-08
265,0.990271,1.94126e-08
266,0.990271,1.94126e-08
267,0.990271,1.94126e-08
268,0.990271,1.94126e-08
269,0.990271,1.94126e-08
270,0.990271,1.94126e-08
271,0.990271,1.94126e-08
272,0.990271,1.94126e-08
273,0.990271,1.94126e-08
274,0.990271,1.94126e-08
275,0.990271,1.94126e-08
276,0.990271,1.94126e-08
277,0.990271,1.94126e-08
278,0.990271,1.94126e-08
279,0.990271,1.94126e-08
280,0.990271,1.94126e-08
281,0.990271,1.94126e-08
282,0.990271,1.94126e-08
283,0.990271,1.94126e-08
284,0.990271,1.94126e-08
285,0.990271,1.94126e-08
286,0.990271,1.94126e-08
287,0.990271,1.94126e-08
288,0.990271,1.94126e-08
289,0.990271,1.94126e-08
290,0.990271,1.94126e-08
291,0.990271,1.94126e-08
292,0.990271,1.94126e-08
293,0.990271,1.94126e-08
294,0.990271,1.94126e-08
295,0.990271,1.94126e-08
296,0.990271,1.94126e-08
297,0.990271,1.94126e-08
298,0.990271,1.94126e-08
299,0.990271,1.94126e-08
300,0.990271,1.94126e-08
301,0.990271,1.94126e-08
302,0.990271,1.94126e-08
303,0.990271,1.94126e-08
304,0.990271,1.94126e-08
305,0.990271,1.94126e-08
306,0.990271,1.94126e-08
307,0.990271,1.94126e-08
308,0.990271,1.94126e-08
309,0.990271,1.94126e-08
310,0.990271,1.94126e-08
311,0.990271,1.94126e-08
312,0.990271,1.94126e-08
313,0.990271,1.94126e-08
314,0.990271,1.94126e-08
315,0.990271,1.94126e-08
316,0.990271,1.94126e-08
317,0.990271,1.94126e-08
318,0.990271,1.94126e-08
319,0.990271,1.94126e-08
320,0.990271,1.94126e-08
321,0.990271,1.94126e-08
322,0.990271,1.94126e-08
323,0.990271,1.94126e-08
324,0.990271,1.94126e-08
325,0.990271,1.94126e-08
326,0.990271,1.94126e-08
327,0.990271,1.94126e-08
328,0.990271,1.94126e-08
329,0.990271,1.94126e-08
330,0.990271,1.94126e-08
331,0.990271,1.94126e-08
332,0.990271,1.94126e-08
333,0.990271,1.94126e-08
334,0.990271,1.94126e-08
335,0.990271,1.94126e-08
336,0.990271,1.94126e-08
337,0.990271,1.94126e-08
338,0.990271,1.94126e-08
339,0.990271,1.94126e-08
340,0.990271,1.94126e-08
341,0.990271,1.94126e-08
342,0.990271,1.94126e-08
343,0.990271,1.94126e-08
344,0.990271,1.94126e-08
345,0.990271,1.94126e-08
346,0.990271,1.94126e-08
347,0.990271,1.94126e-08
348,0.990271,1.94126e-08
349,0.990271,1.94126e-08
350,0.990271,1.94126e-08
351,0.990271,1.94126e-08
352,0.990271,1.94126e-08
353,0.990271,1.94126e-08
354,0.990271,1.94126e-08
355,0.990271,1.94126e-08
356,0.990271,1.94126e-08
357,0.990271,1.94126e-08
358,0.990271,1.94126e-08
359,0.990271,1.94126e-08
360,0.990271,1.94126e-08
361,0.990271,1.94126e-08
362,0.990271,1.94126e-08
363,0.990271,1.94126e-08
364,0.990271,1.94126e-08
365,0.990271,1.94126e-08
366,0.990271,1.94126e-08
367,0.990271,1.94126e-08
368,0.990271,1.94126e-08
369,0.990271,1.94126e-08
370,0.990271,1.94126e-08
371,0.990271,1.94126e-08
372,0.990271,1.94126e-08
373,0.990271,1.94126e-08
374,0.990271,1.94126e-08
375,0.990271,1.94126e-08
376,0.990271,1.94126e-08
377,0.990271,1.94126e-08
378,0.990271,1.94126e-08
379,0.990271,1.94126e-08
380,0.990271,1.94126e-08
381,0.990271,1.94126e-08
382,0.990271,1.94126e-08
383,0.990271,1.94126e-08
384,0.990271,1.94126e-08
385,0.990271,1.94126e-08
386,0.990271,1.94126e-08
387,0.990271,1.94126e-08
388,0.990271,1.94126e-08
389,0.990271,1.94126e-08
390,0.990271,1.94126e-08
391,0.990271,1.94126e-08
392,0.990271,1.94126e-08
393,0.990271,1.94126e-08
394,0.990271,1.94126e-08
395,0.990271,1.94126e-08
396,0.990271,1.94126e-08
397,0.990271,1.94126e-08
398,0.990271,1.94126e-08
399,0.990271,1.94126e-08
400,0.990271,1.94126e-08
401,0.990271,1.94126e-08
402,0.990271,1.94126e-08
403,0.990271,1.94126e-08
404,0.990271,1.94126e-08
405,0.990271,1.94126e-08
406,0.990271,1.94126e-08
407,0.990271,1.94126e-08
408,0.990271,1.94126e-08
409,0.990271,1.94126e-08
410,0.990271,1.94126e-08
411,0.990271,1.94126e-08
412,0.990271,1.94126e-08
413,0.990271,1.94126e-08
414,0.990271,1.94126e-08
415,0.990271,1.94126e-08
416,0.990271,1.94126e-08
417,0.990271,1.94126e-08
418,0.990271,1.94126e-08
419,0.990271,1.94126e-08
420,0.990271,1.94126e-08
421,0.990271,1.94126e-08
422,0.990271,1.94126e-08
423,0.990271,1.94126e-08
424,0.990271,1.94126e-08
425,0.990271,1.94126e-08
426,0.990271,1.94126e-08
427,0.990271,1.94126e-08
428,0.990271,1.94126e-08
429,0.990271,1.94126e-08
430,0.990271,1.94126e-08
431,0.990271,1.94126e-08
432,0.990271,1.94126e-08
433,0.990271,1.94126e-08
434,0.990271,1.94126e-08
435,0.990271,1.94126e-08
436,0.990271,1.94126e-08
437,0.990271,1.94126e-08
438,0.990271,1.94126e-08
439,0.990271,1.94126e-08
440,0.990271,1.94126e-08
441,0.990271,1.94126e-08
442,0.990271,1.94126e-08
443,0.990271,1.94126e-08
444,0.990271,1.94126e-08
445,0.990271,1.94126e-08
446,0.990271,1.94126e-08
447,0.990271,1.94126e-08
448,0.990271,1.94126e-08
449,0.990271,1.94126e-08
450,0.990271,1.94126e-08
451,0.990271,1.94126e-08
452,0.990271,1.94126e-08
453,0.990271,1.94126e-08
454,0.990271,1.94126e-08
455,0.990271,1.94126e-08
456,0.990271,1.94126e-08
457,0.990271,1.94126e-08
458,0.990271,1.94126e-08
459,0.990271,1.94126e-08
460,0.990271,1.94126e-08
461,0.990271,1.94126e-08
462,0.990271,1.94126e-08
463,0.990271,1.94126e-08
464,0.990271,1.94126e-08
465,0.990271,1.94126e-08
466,0.990271,1.94126e-08
467,0.990271,1.94126e-08
468,0.990271,1.94126e-08
469,0.990271,1.94126e-08
470,0.990271,1.94126e-08
471,0.990271,1.94126e-08
472,0.990271,1.94126e-08
473,0.990271,1.94126e-08
474,0.990271,1.94126e-08
475,0.990271,1.94126e-08
476,0.990271,1.94126e-08
477,0.990271,1.94126e-08
478,0.990271,1.94126e-08
479,0.990271,1.94126e-08
480,0.990271,1.94126e-08
481,0.990271,1.94126e-08
482,0.990271,1.94126e-08
483,0.990271,1.94126e-08
484,0.990271,1.94126e-08
485,0.990271,1.94126e-08
486,0.990271,1.94126e-08
487,0.990271,1.94126e-08
488,0.990271,1.94126e-08
489,0.990271,1.94126e-08
490,0.990271,1.94126e-08
491,0.990271,1.94126e-08
492,0.990271,1.94126e-08
493,0.990271,1.94126e-08
494,0.990271,1.94126e-08
495,0.990271,1.94126e-08
496,0.990271,1.94126e-08
497,0.990271,1.94126e-08
498,0.990271,1.94126e-08
499,0.990271,1.94126e-08
500,0.990271,1.94126e-08
501,0.990271,1.94126e-08
502,0.990271,1.94126e-08
503,0.990271,1.94126e-08
504,0.990271,1.94126e-08
505,0.990271,1.94126e-08
506,0.990271,1.94126e-08
507,0.990271,1.94126e-08
508,0.990271,1.94126e-08
509,0.990271,1.94126e-08
510,0.990271,1.94126e-08
511,0.990271,1.94126e-08
512,0.990271,1.94126e-08
513,0.990271,1.94126e-08
514,0.990271,1.94126e-08
515,0.990271,1.94126e-08
516,0.990271,1.94126e-08
517,0.990271,1.94126e-08
518,0.990271,1.94126e-08
519,0.990271,1.94126e-08
520,0.990271,1.94126e-08
521,0.990271,1.94126e-08
522,0.990271,1.94126e-08
523,0.990271,1.94126e-08
524,0.990271,1.94126e-08
525,0.990271,1.94126e-08
526,0.990271,1.94126e-08
527,0.990271,1.94126e-08
528,0.990271,1.94126e-08
529,0.990271,1.94126e-08
530,0.990271,1.94126e-08
531,0.990271,1.94126e-08
532,0.990271,1.94126e-08
533,0.990271,1.94126e-08
534,0.990271,1.94126e-08
535,0.990271,1.94126e-08
536,0.990271,1.94126e-08
537,0.990271,1.94126e-08
538,0.990271,1.94126e-08
539,0.990271,1.94126e-08
540,0.990271,1.94126e-08
541,0.990271,1.94126e-08
542,0.990271,1.94126e-08
543,0.990271,1.94126e-08
544,0.990271,1.94126e-08
545,0.990271,1.94126e-08
546,0.990271,1.94126e-08
547,0.990271,1.94126e-08
548,0.990271,1.94126e-08
549,0.990271,1.94126e-08
550,0.990271,1.94126e-08
551,0.990271,1.94126e-08
552,0.990271,1.94126e-08
553,0.990271,1.94126e-08
554,0.990271,1.94126e-08
555,0.990271,1.94126e-08
556,0.990271,1.94126e-08
557,0.990271,1.94126e-08
558,0.990271,1.94126e-08
559,0.990271,1.94126e-08
560,0.990271,1.94126e-08
561,0.990271,1.94126e-08
562,0.990271,1.94126e-08
563,0.990271,1.94126e-08
564,0.990271,1.94126e-08
565,0.990271,1.94126e-08
566,0.990271,1.94126e-08
567,0.990271,1.94126e-08
568,0.990271,1.94126e-08
569,0.990271,1.94126e-08
570,0.990271,1.94126e-08
571,0.990271,1.94126e-08
572,0.990271,1.94126e-08
573,0.990271,1.94126e-08
574,0.990271,1.94126e-08
575,0.990271,1.94126e-08
576,0.990271,1.94126e-08
577,0.990271,1.94126e-08
578,0.990271,1.94126e-08
579,0.990271,1.94126e-08
580,0.990271,1.94126e-08
581,0.990271,1.94126e-08
582,0.990271,1.94126e-08
583,0.990271,1.94126e-08
584,0.990271,1.94126e-08
585,0.990271,1.94126e-08
586,0.990271,1.94126e-08
587,0.990271,1.94126e-08
588,0.990271,1.94126e-08
589,0.990271,1.94126e-08
590,0.990271,1.94126e-08
591,0.990271,1.94126e-08
592,0.990271,1.94126e-08
593,0.990271,1.94126e-08
594,0.990271,1.94126e-08
595,0.990271,1.94126e-08
596,0.990271,1.94126e-08
597,0.990271,1.94126e-08
598,0.990271,1.94126e-08
599,0.990271,1.94126e-08
600,0.990271,1.94126e-08
