Time,avg(PDE variable 0),std(PDE variable 0)
0,0.00990099,0.0990545
1,0.00828115,0.0654385
2,0.00800721,0.0564969
3,0.00813539,0.0533129
4,0.00843718,0.0522879
5,0.0088416,0.0523651
6,0.00932087,0.0531248
7,0.00986325,0.0543649
8,0.0104627,0.0559735
9,0.0111161,0.0578836
10,0.0118217,0.0600518
11,0.0125787,0.0624485
12,0.0133868,0.0650524
13,0.0142462,0.0678465
14,0.0151576,0.0708176
15,0.0161203,0.0739556
16,0.0171344,0.0772505
17,0.0181999,0.080693
18,0.0193165,0.0842741
19,0.0204838,0.0879849
20,0.0217012,0.0918165
21,0.0229679,0.09576
22,0.0242833,0.0998058
23,0.0256462,0.103944
24,0.0270556,0.108166
25,0.0285101,0.112462
26,0.0300083,0.116821
27,0.0315485,0.121235
28,0.0331291,0.125692
29,0.0347484,0.130185
30,0.0364044,0.134704
31,0.0380954,0.139239
32,0.0398192,0.143783
33,0.0415742,0.148328
34,0.0433582,0.152865
35,0.0451694,0.157387
36,0.0470059,0.161889
37,0.048866,0.166365
38,0.050748,0.170808
39,0.0526501,0.175214
40,0.0545708,0.179579
41,0.0565087,0.1839
42,0.0584624,0.188172
43,0.0604305,0.192394
44,0.0624119,0.196563
45,0.0644055,0.200678
46,0.0664102,0.204737
47,0.0684252,0.208738
48,0.0704496,0.212683
49,0.0724825,0.216569
50,0.0745234,0.220397
51,0.0765716,0.224168
52,0.0786265,0.22788
53,0.0806877,0.231536
54,0.0827547,0.235136
55,0.0848271,0.238679
56,0.0869045,0.242168
57,0.0889867,0.245603
58,0.0910733,0.248986
59,0.0931642,0.252316
60,0.0952591,0.255596
61,0.0973578,0.258826
62,0.0994602,0.262007
63,0.101566,0.265142
64,0.103675,0.26823
65,0.105788,0.271272
66,0.107904,0.274271
67,0.110022,0.277227
68,0.112144,0.280141
69,0.114269,0.283013
70,0.116397,0.285846
71,0.118527,0.28864
72,0.12066,0.291396
73,0.122796,0.294115
74,0.124934,0.296797
75,0.127076,0.299444
76,0.129219,0.302056
77,0.131365,0.304634
78,0.133514,0.307179
79,0.135665,0.309692
80,0.137819,0.312172
81,0.139975,0.314622
82,0.142133,0.317041
83,0.144293,0.319431
84,0.146456,0.321791
85,0.148621,0.324122
86,0.150788,0.326425
87,0.152958,0.328701
88,0.155129,0.330949
89,0.157303,0.33317
90,0.159479,0.335366
91,0.161656,0.337535
92,0.163836,0.339679
93,0.166018,0.341798
94,0.168201,0.343893
95,0.170387,0.345963
96,0.172574,0.34801
97,0.174763,0.350033
98,0.176954,0.352032
99,0.179147,0.354009
100,0.181342,0.355964
101,0.183538,0.357896
102,0.185736,0.359806
103,0.187935,0.361695
104,0.190136,0.363562
105,0.192339,0.365408
106,0.194543,0.367234
107,0.196749,0.369038
108,0.198956,0.370823
109,0.201165,0.372587
110,0.203375,0.374332
111,0.205586,0.376057
112,0.207799,0.377762
113,0.210013,0.379449
114,0.212229,0.381116
115,0.214446,0.382764
116,0.216664,0.384394
117,0.218884,0.386006
118,0.221104,0.387599
119,0.223326,0.389174
120,0.225549,0.390731
121,0.227773,0.392271
122,0.230008,0.393799
123,0.232249,0.395311
124,0.234492,0.396805
125,0.236736,0.398279
126,0.238982,0.399735
127,0.24123,0.401173
128,0.243479,0.402592
129,0.245731,0.403994
130,0.247984,0.405378
131,0.25024,0.406744
132,0.252498,0.408094
133,0.254759,0.409427
134,0.257022,0.410744
135,0.259287,0.412044
136,0.261556,0.413328
137,0.263827,0.414597
138,0.266101,0.41585
139,0.268378,0.417087
140,0.270658,0.418309
141,0.272941,0.419516
142,0.275228,0.420709
143,0.277517,0.421887
144,0.27981,0.42305
145,0.282106,0.424199
146,0.284405,0.425333
147,0.286708,0.426454
148,0.289014,0.42756
149,0.291324,0.428653
150,0.293637,0.429732
151,0.295953,0.430797
152,0.298273,0.431849
153,0.300596,0.432887
154,0.302923,0.433912
155,0.305253,0.434924
156,0.307587,0.435922
157,0.309924,0.436908
158,0.312264,0.43788
159,0.314608,0.438839
160,0.316955,0.439785
161,0.319306,0.440718
162,0.32166,0.441639
163,0.324017,0.442546
164,0.326378,0.443441
165,0.328742,0.444323
166,0.331109,0.445192
