Time,avg(PDE variable 0),std(PDE variable 0)
0,0.00990099,0.0990545
1,0.00542364,0.011774
2,0.00585523,0.00978071
3,0.00639771,0.00912491
4,0.00701162,0.00887647
5,0.00769427,0.00882217
6,0.00844905,0.00888131
7,0.00928151,0.00901512
8,0.0101984,0.00920205
9,0.0112076,0.00942885
10,0.0123176,0.00968678
11,0.013538,0.00996981
12,0.0148793,0.0102736
13,0.0163529,0.010595
14,0.0179712,0.0109315
15,0.0197478,0.0112813
16,0.0216975,0.0116429
17,0.0238364,0.0120149
18,0.0261819,0.0123963
19,0.0287526,0.0127859
20,0.031569,0.0131827
21,0.0346529,0.0135855
22,0.0380279,0.0139932
23,0.0417191,0.0144044
24,0.0457534,0.0148176
25,0.0501597,0.0152313
26,0.0549682,0.0156436
27,0.0602111,0.0160525
28,0.0659224,0.0164557
29,0.0721373,0.0168507
30,0.0788927,0.0172348
31,0.0862265,0.0176048
32,0.0941777,0.0179576
33,0.102786,0.0182895
34,0.11209,0.0185968
35,0.12213,0.0188755
36,0.132944,0.0191214
37,0.144568,0.0193302
38,0.157036,0.0194976
39,0.170378,0.019619
40,0.184621,0.0196904
41,0.199785,0.0197076
42,0.215884,0.0196668
43,0.232923,0.0195649
44,0.250901,0.0193991
45,0.269804,0.0191674
46,0.289608,0.0188687
47,0.31028,0.0185028
48,0.331771,0.0180707
49,0.354022,0.0175743
50,0.376961,0.0170168
51,0.400504,0.0164026
52,0.424557,0.0157371
53,0.449015,0.0150267
54,0.473765,0.0142789
55,0.49869,0.0135015
56,0.523665,0.012703
57,0.548567,0.011892
58,0.573271,0.0110774
59,0.597657,0.0102673
60,0.621611,0.0094697
61,0.645025,0.00869184
62,0.667802,0.00794006
63,0.689855,0.00721977
64,0.711109,0.00653537
65,0.731504,0.0058902
66,0.750991,0.00528657
67,0.769534,0.00472587
68,0.78711,0.00420852
69,0.803708,0.00373426
70,0.819326,0.0033021
71,0.833974,0.00291053
72,0.847669,0.0025576
73,0.860435,0.00224104
74,0.872303,0.00195849
75,0.883308,0.00170723
76,0.893487,0.00148447
77,0.902883,0.001288
78,0.911537,0.00111535
79,0.919494,0.000964078
80,0.926796,0.000831931
81,0.933487,0.000716796
82,0.939609,0.000616729
83,0.945203,0.000529946
84,0.950309,0.000454837
85,0.954963,0.000389955
86,0.959201,0.000333992
87,0.963056,0.000285809
88,0.966561,0.000244371
89,0.969745,0.000208785
90,0.972635,0.000178255
91,0.975256,0.000152102
92,0.977632,0.000129696
93,0.979786,0.000110538
94,0.981736,9.41468e-05
95,0.983501,8.01722e-05
96,0.985099,6.78538e-05
97,0.986544,5.74024e-05
98,0.987851,4.85624e-05
99,0.989032,4.10674e-05
100,0.9901,3.47118e-05
101,0.991065,2.93396e-05
102,0.991936,2.47983e-05
